Competitior Name,Country of Origin,Age,Stage,Composer,Piece,Ranking,Cliburn Yr
Victor Chestopal,Russia,21,Final Round,Bach,Piano Concerto in D Minor BWV 1052,Semifinal,10th
Joel Hastings,Canada,27,Semifinal Recital,Bach,Prelude and Fugue in E-flat Major BWV 852,Preliminary,10th
Stanislav Ioudenitch,Russia,25,Semifinal Recital,Bach,Partita No.2 in C Minor BWV 826,Semifinal,10th
Aleksandar Madžar,Yugoslavia,28,Preliminary Round,Bach,Partita No.4 in D Major BWV 828,Semifinal,10th
Margarita Shevchenko,Russia,29,Preliminary,Bach,English Suite No.3 in G minor BWV 808,Preliminary,10th
Christopher Shih,United States,24,Preliminary,Bach,Prelude and Fugue in F major BWV 880,Preliminary,10th
Christopher Shih,United States,24,Preliminary,Bach,Prelude and Fugue in F minor BWV 881,Preliminary,10th
Niklas Sivelöv,Sweden,29,Semifinal Recital,Bach,Italian Concerto BWV 971,Preliminary,10th
Dmitri Teterin,Russia,25,Preliminary,Bach,Prelude and Fugue in B minor BWV 869,Preliminary,10th
Yunjie Chen,China,20,Preliminary Round,Bach,Partita No.5 in G Major BWV 829,Preliminary,11th
Stanislav Ioudenitch,Uzbekistan,29,Preliminary Round,Bach,Partita No.2 in C Minor BWV 826,1st,11th
Paavali Jumppanen,Finland,26,Semifinal Recital,Bach,English Suite No.3 in G Minor BWV 808,Preliminary,11th
Masaru Okada,Japan,26,Semifinal Recital,Bach,Partita No.6 in E Minor BWV 830,Semifinal,11th
Elizabeth Schumann,United States,19,Semifinal Recital,Bach,Excerpts fromLittle Preludes and FuguesandKlavierbüchlein für W. F. Bach,Preliminary,11th
Stephen Beus,United States,23,Final Recital,Bach,Chromatic Fantasy and Fugue BWV 903,Preliminary,11th
Alexandre Moutouzkine,Russia,24,Final Recital,Bach,Prelude and Fugue in C-sharp minor BWV 873,Preliminary,12th
Ilya Rashkovskiy,Russia,20,Preliminary,Bach,Italian Concerto BWV 971,Preliminary,12th
Rem Urasin,Russia,29,Preliminary,Bach,Italian Concerto BWV 971,Preliminary,12th
Di Wu,China,20,Final Recital,Bach,Toccata in F-sharp minor BWV 910,Preliminary,12th
Joyce Yang,South Korea,19,Preliminary Round,Bach,French Overture BWV 831,2nd,12th
Andrius Žlabys,Lithuania,28,Preliminary Recital,Bach,Chromatic Fantasy and Fugue BWV 903,Preliminary,12th
Andrius Žlabys,Lithuania,28,Semifinal Recital,Bach,Partita No.6 in E minor BWV 830,Preliminary,12th
Davide Cabassi,Italy,28,Preliminary Recital,Bach,Capriccio on the Departure of a Beloved Brother BWV 992,Finalist,12th
Ran Dank,Israel,27,Semifinal Recital,Bach,Partita No.4 in D Major BWV 828,Semifinal,13th
Kyu Yeon Kim,South Korea,23,Final Recital,Bach,Prelude and Fugue in F Major BWV 880,Semifinal,13th
Kyu Yeon Kim,South Korea,23,Final Recital,Bach,Prelude and Fugue in B-flat Minor BWV 867,Semifinal,13th
Mayumi Sakamoto,Japan,26,Preliminary Recital,Bach,Toccata in E Minor BWV 914,Preliminary,13th
Mariangela Vacatello,Italy,27,Final Recital,Bach,Italian Concerto BWV 971,Finalist,13th
Vassilis Varvaresos,Greece,26,Final Recital,Bach,Prelude and Fugue in E-flat Major BWV 852,Preliminary,13th
Lukáš Vondráček,Czech Republic,22,Preliminary Recital,Bach,Italian Concerto BWV 971,Preliminary,13th
Di Wu,China,24,Final Recital,Bach,Toccata in F-sharp minor BWV 910,Finalist,13th
Amy J. Yang,United States/China,25,Preliminary Recital,Bach,French Overture BWV 831,Preliminary,13th
Amy J. Yang,United States/China,25,Semifinal Recital,Bach,Capriccio on the Departure of a Beloved Brother BWV 992,Preliminary,13th
Ning Zhou,China,21,Semifinal Recital,Bach,Chromatic Fantasy and Fugue BWV 903,Preliminary,13th
Stephen Beus,United States,27,Preliminary Recital,Bach,English Suite No.3 in G Minor BWV 808,Preliminary,13th
Luca Buratto,Italy,20,Preliminary Recital 2,Bach,Toccata in C Minor BWV 911,Preliminary,14th
Sean Chen,United States,24,Preliminary Recital 1,Bach,French Suite No.5 in G Major BWV 816,2nd,14th
Alexey Chernov,Russia,30,Preliminary Recital 1,Bach,Toccata in G Minor BWV 915,Semifinal,14th
Alessandro Deljavan,Italy,26,Preliminary Recital 1,Bach,Partita No.5 in G Major BWV 829,Semifinal,14th
Jayson Gillham,Australia-United Kingdom,26,Preliminary Recital 1,Bach,Toccata in G Major BWV 916,Semifinal,14th
Steven Lin,United States,24,Preliminary Recital 1,Bach,Overture in the French Style BWV 831,Preliminary,14th
Alex McDonald,United States,30,Semifinal Recital,Bach,Goldberg Variations BWV 988,Preliminary,14th
Nikita Mndoyants,Russia,24,Preliminary Recital 2,Bach,Toccata in F-sharp Minor BWV 910,Finalist,14th
Scipione Sangiovanni,Italy,25,Preliminary Recital 1,Bach,Partita No.6 in E Minor BWV 830,Preliminary,14th
Martin James Bartlett,United Kingdom,20,Preliminary Recital,Bach,Toccata in C Minor BWV 911,Preliminary,15th
Martin James Bartlett,United Kingdom,20,Semifinal Recital,Bach,Partita No.2 in C Minor BWV 826,Preliminary,15th
Alina Bercu,Romania,27,Preliminary Recital,Bach,Partita No.4 in D Major BWV 828,Preliminary,15th
Kenneth Broberg,United States,23,Preliminary Recital,Bach,Toccata in C Minor BWV 911,2nd,15th
Rachel Kudo,United States,30,Preliminary Recital,Bach,Overture in the French Style BWV 831,Preliminary,15th
Sun-A Park,United States,29,Preliminary Recital,Bach,Capriccio on the Departure of a Beloved Brother BWV 992,Preliminary,15th
Yutong Sun,China,21,Quarterfinal Recital,Bach,Prelude and Fugue in E-flat Minor BWV 853,Semifinal,15th
Tristan Teo,Canada,20,Quarterfinal Recital,Bach,Toccata in D Minor BWV 913,Preliminary,15th
Uladzislau Khandohi,Belarus,20,Quarterfinal Round,Bach,Chromatic Fantasy and Fugue BWV 903,Finalist,16th
Albert Cano Smit,Spain/Netherlands,25,Preliminary Round,Bach,Contrapunctus I IV II XIIIb XIIIa V IX from The Art of Fugue BWV 1080,Quarterfinal,16th
Albert Cano Smit,Spain/Netherlands,25,Semifinal Round,Bach,English Suite No.1 in A Major BWV 806,Quarterfinal,16th
Vitaly Starikov,Russia,27,Quarterfinal Round,Bach,Fantasia and Fugue in A Minor BWV 904,Preliminary,16th
Masaya Kamei,Japan,20,Quarterfinal Round,Bach,Chromatic Fantasy and Fugue BWV 903,Semifinal,16th
Changyong Shin,South Korea,28,Semifinal Round,Bach,Toccata in D Major BWV 912,Semifinal,16th
Shuan Hern Lee,Australia,19,Quarterfinal Round,Bach,Chromatic Fantasy and Fugue BWV 903,Preliminary,16th
Yunchan Lim,South Korea,18,Quarterfinal Rond,Bach,�Ricercar a 3� from The Musical Offering BWV 1079,1st,16th
William Wolfram,United States,29,Preliminary Phase 1,Bach,Toccata in F-sharp minor BWV 910,Preliminary,7th
Patti Wolf,United States,19,Preliminary Phase 1,Bach,Partita No.2 in C minor BWV 826,Preliminary,7th
Patti Wolf,United States,19,Recital Program,Bach,Toccata in E minor BWV 914,Preliminary,7th
Hans-Christian Wille,West Germany,27,Preliminary Phase 1,Bach,English Suite No.3 in G minor BWV 808,6th,7th
Andrew Wilde,United Kingdom,20,Preliminary Phase 1,Bach,Chromatic Fantasy and Fugue BWV 903,Semifinal,7th
David Allen Wehr,United States,27,Preliminary Phase 1,Bach,Toccata in D major BWV 912,Preliminary,7th
Sharon Joy Vogan,New Zealand,25,Preliminary Phase 1,Bach,Partita No.2 in C minor BWV 826,Preliminary,7th
Emma Takhmizian,Bulgaria,27,Preliminary Phase 1,Bach,Chromatic Fantasy and Fugue BWV 903,4th,7th
Eun Soo Son,Korea,21,Preliminary Phase 1,Bach,Partita No.2 in C minor BWV 826,Preliminary,7th
Kathryn Selby,Australia,22,Preliminary Phase 1,Bach,Italian Concerto BWV 971,Semifinal,7th
Susan Savage,United States,29,Preliminary Phase 1,Bach,Partita No.2 in C minor BWV 826,Preliminary,7th
Ilan Rechtman,Israel,22,Preliminary Phase 1,Bach,Partita No.5 in G major BWV 829,Preliminary,7th
Thomas Otten,United States,24,Preliminary Phase 1,Bach,Partita No.1 in B-flat major BWV 825,Preliminary,7th
Károly Mocsári,Hungary,22,Preliminary Phase 1,Bach,Italian Concerto BWV 971,5th,7th
Yuki Matsuzawa,Japan,26,Preliminary Phase 1,Bach,Italian Concerto BWV 971,Preliminary,7th
Paul Maillet,United States,27,Preliminary Phase 1,Bach,Partita No.5 in G major BWV 829,Preliminary,7th
Norman Krieger,United States,28,Preliminary Phase 1,Bach,Chromatic Fantasy and Fugue BWV 903,Semifinal,7th
Youngho Kim,Korea,28,Preliminary Phase 1,Bach,Partita No.1 in B-flat major BWV 825,Preliminary,7th
Ingrid Jacoby,United States,26,Preliminary Phase 1,Bach,Partita No.2 in C minor BWV 826,Preliminary,7th
Diane Hidy,United States,26,Preliminary Phase 1,Bach,English Suite No.2 in A minor BWV 807,Preliminary,7th
Eduardus Halim,Indonesia,23,Preliminary Phase 1,Bach,Partita No.4 in D major BWV 828,Preliminary,7th
JosE Feghali,Brazil,24,Preliminary Phase 1,Bach,English Suite No.2 in A minor BWV 807,1st,7th
Thomas Duis,West Germany,26,Preliminary Phase 1,Bach,Partita No.5 in G major BWV 829,Preliminary,7th
Barry Douglas,United Kingdom,25,Preliminary Phase 1,Bach,Partita No.5 in G major BWV 829,3rd,7th
Lora Dimitrova,Bulgaria,22,Preliminary Phase 1,Bach,Partita No.4 in D major BWV 828,Preliminary,7th
Lora Dimitrova,Bulgaria,22,Recital Program,Bach,Chromatic Fantasy and Fugue BWV 903,Preliminary,7th
Rian de Waal,Netherlands,26,Preliminary Phase 1,Bach,Toccata in E minor BWV 914,Semifinal,7th
Sergio de los Cobos,Spain,28,Preliminary Phase 1,Bach,Toccata in E minor BWV 914,Preliminary,7th
