,Unnamed: 0,numberofnotes,numberofchords,numberofmeasures,meandistancebetweenchords,meantimebetweenchords,key,timechanges,trillslength,avgtempo,32nd_and_shorter,16th,eighth,quarter,dotted quarter,half,dotted half,whole,CompositePiece,Competitior Name,Country of Origin,Age,Stage,Stage Simple,Composer,Piece,Ranking
0,5,8628.0,1879.0,694.0,12.312566560170394,0.4800452609158679,F# major,8.0,"[0, 0]",145.5479546927012,173.0,3773.0,788.0,134.0,107.0,0.0,40.0,0.0,Mily Balakirev Islamey,Andrey Gugnin.,Russia,29.0,Preliminary,Preliminary,Mily Balakirev,Islamey,1
2,9,3051.0,0.0,324.0,,,a minor,2.0,"[0, 0]",90.69659442724458,0.0,2170.0,806.0,55.0,1.0,5.0,4.0,0.0,Bach English Suite No.6 in D Minor BWV 811,Simone Pedroni,Italy,24.0,Preliminary,Preliminary,Bach,English Suite No.6 in D Minor BWV 811,1
3,12,3051.0,0.0,324.0,,,a minor,2.0,"[0, 0]",90.69659442724458,0.0,2170.0,806.0,55.0,1.0,5.0,4.0,0.0,Bach English Suite No.2 in A Minor BWV 807,JosE Feghali,Brazil,24.0,Preliminary Phase 1,Preliminary,Bach,English Suite No.2 in A Minor BWV 807,1
4,14,5289.0,743.0,1258.0,12.966307277628031,2.5390835579514826,b minor,2.0,"[0, 0]",0.0,52.0,4.0,2785.0,893.0,75.0,134.0,308.0,0.0,Chopin Scherzo No.1 in B Minor Op.20,JosE Feghali,Brazil,24.0,Preliminary Phase 1,Preliminary,Chopin,Scherzo No.1 in B Minor Op.20,1
5,15,1378.0,83.0,158.0,2.658536585365854,3.804878048780488,C major,2.0,"[0, 0]",101.13740458015268,0.0,1203.0,0.0,8.0,0.0,12.0,4.0,68.0,Chopin Etude in C Major Op.10 No.1,JosE Feghali,Brazil,24.0,Preliminary Phase 1,Preliminary,Chopin,Etude in C Major Op.10 No.1,1
6,16,4467.0,1118.0,440.0,17.826320501342884,0.3930207400775884,a minor,24.0,"[2, Fraction(4, 3)]",74.67163327366109,821.0,1317.0,397.0,96.0,6.0,24.0,0.0,0.0,Liszt Paganini Etude No.6 in A Minor,JosE Feghali,Brazil,24.0,Preliminary Phase 1,Preliminary,Liszt,Paganini Etude No.6 in A Minor,1
7,17,2182.0,168.0,336.0,11.233532934131736,2.6706586826347305,D major,3.0,"[9, 10.0]",0.0,70.0,1055.0,622.0,169.0,5.0,24.0,0.0,4.0,Mozart Sonata in D Major K.311,JosE Feghali,Brazil,24.0,Preliminary Phase 2,Preliminary,Mozart,Sonata in D Major K.311,1
8,18,6468.0,1061.0,528.0,9.994339623,1.4660377358490566,f minor,2.0,"[24, 63.0]",86.32453459294248,20.0,2170.0,1661.0,309.0,307.0,0.0,126.0,0.0,"Beethoven Sonata in F Minor Op.57 ""Appassionata""",JosE Feghali,Brazil,24.0,Preliminary Phase 2,Preliminary,Beethoven,"Sonata in F Minor Op.57 ""Appassionata""",1
9,19,6759.0,1705.0,672.0,16.357981220657276,0.767605634,A- major,18.0,"[0, 0]",150.6590084643289,34.0,162.0,819.0,970.0,40.0,213.0,13.0,16.0,Chopin Fantasy in F Minor Op.49,JosE Feghali,Brazil,24.0,Preliminary Phase 2,Preliminary,Chopin,Fantasy in F Minor Op.49,1
11,22,2541.0,144.0,318.0,4.020979020979021,1.814685314685318,B major,8.0,"[4, 2.75]",132.44210526315788,136.0,170.0,878.0,209.0,43.0,51.0,16.0,4.0,Chopin Nocturne in B Major Op.9 No.3,Alexander Kobrin,Russia,25.0,Preliminary Recital,Preliminary,Chopin,Nocturne in B Major Op.9 No.3,1
