"ddCompetitor","Country","Age","Stage","Composer","Associated Piece"
"Zhu Da Ming","People's Republic of China","29","Preliminary Phase I","J.S. Bach","Chromatic Fantasia and Fugue, BWV 903"
"Zhu Da Ming","People's Republic of China","29","Preliminary Phase I","Beethoven","Sonata in D, Op. 10 No. 3"
"Zhu Da Ming","People's Republic of China","29","Preliminary Phase I","Chopin","Scherzo in E, Op. 54; Etude in A minor, Op. 25 No. 11"
"Zhu Da Ming","People's Republic of China","29","Preliminary Phase I","Liszt","Etude d’exécution transcendante No. 5 in B flat (""Feux Follets"")"
"Zhu Da Ming","People's Republic of China","29","Preliminary Phase II","Mozart","Sonata in A, K. 331"
"Zhu Da Ming","People's Republic of China","29","Preliminary Phase II","Beethoven","Sonata in C minor, Op. 111"
"Zhu Da Ming","People's Republic of China","29","Preliminary Phase II","Schumann","Fantasie in C, Op. 17"
"Zhu Da Ming","People's Republic of China","29","Preliminary Phase II","Stravinsky","Trois Mouvements de Petrouchka"
"Zhu Da Ming","People's Republic of China","29","Semifinal Chamber Music","Schumann","Piano Quintet in E flat, Op. 44"
"Zhu Da Ming","People's Republic of China","29","Semifinal Recital","Liszt","Sonata in B minor"
"Zhu Da Ming","People's Republic of China","29","Semifinal Recital","Debussy","Estampes"
"Zhu Da Ming","People's Republic of China","29","Semifinal Recital","Bernstein","Touches"
"Zhu Da Ming","People's Republic of China","29","Final Concerti","Mozart","Piano Concerto in C minor, K.491"
"Zhu Da Ming","People's Republic of China","29","Final Concerti","Rachmaninoff","Piano Concerto No.2 in C minor, Op.18"
"Yu Jin","People's Republic of China","24","Preliminary Phase I","J.S. Bach","Chromatic Fantasia and Fugue, BWV 903"
"Yu Jin","People's Republic of China","24","Preliminary Phase I","Beethoven","Sonata in D minor, Op. 31 No. 2"
"Yu Jin","People's Republic of China","24","Preliminary Phase I","Chopin","Ballade in F, Op. 38; Etude in F, Op. 10 No. 8"
"Yu Jin","People's Republic of China","24","Preliminary Phase I","Liszt","Etude d’exécution transcendante No. 7 in E flat (""Eroica"")"
"Yu Jin","People's Republic of China","24","Preliminary Phase II","Mozart","Sonata in C, K. 330"
"Yu Jin","People's Republic of China","24","Preliminary Phase II","Beethoven","Sonata in E flat, Op. 81a"
"Yu Jin","People's Republic of China","24","Preliminary Phase II","Liszt","Sonata in B minor"
"Yu Jin","People's Republic of China","24","Preliminary Phase II","Barber","Excursions"
"Yu Jin","People's Republic of China","24","Semifinal Chamber Music","Dvořák","Piano Quintet in A, Op. 81"
"Yu Jin","People's Republic of China","24","Semifinal Recital","Ho Lu-Ting","The Buffalo’s Flute"
"Yu Jin","People's Republic of China","24","Semifinal Recital","Chen Pei-Shuen","The Autumn Moon on the Smooth Lake"
"Yu Jin","People's Republic of China","24","Semifinal Recital","Wang Jian-Zhong","All the Birds Are Singing"
"Yu Jin","People's Republic of China","24","Semifinal Recital","Debussy","Estampes"
"Yu Jin","People's Republic of China","24","Semifinal Recital","Prokofiev","Suggestion diabolique, Op.4 No.4"
"Yu Jin","People's Republic of China","24","Semifinal Recital","Liszt","Sonata in B minor"
"Yu Jin","People's Republic of China","24","Semifinal Recital","Bernstein","Touches"
"Yu Jin","People's Republic of China","24","Final Concerti","Mozart","Piano Concerto in C minor, K.491"
"Yu Jin","People's Republic of China","24","Final Concerti","Beethoven","Piano Concerto No.4 in G, Op.58"
"Nancy Weems","USA","29","Preliminary Phase I","J.S. Bach","Partita No. 2 in C minor, BWV 826"
"Nancy Weems","USA","29","Preliminary Phase I","Beethoven","Sonata in G, Op. 31 No. 1"
"Nancy Weems","USA","29","Preliminary Phase I","Chopin","Ballade in F minor, Op. 52; Etude in F, Op. 10 No. 8"
"Nancy Weems","USA","29","Preliminary Phase I","Rachmaninoff","Etude-Tableau in D, Op. 39 No. 9"
"Nancy Weems","USA","29","Preliminary Phase II","Mozart","Sonata in B flat, K. 333"
"Nancy Weems","USA","29","Preliminary Phase II","Beethoven","Sonata in E flat, Op. 81a"
"Nancy Weems","USA","29","Preliminary Phase II","Schumann","Carnaval, Op. 9"
"Nancy Weems","USA","29","Preliminary Phase II","Barber","Sonata in E flat minor, Op. 26; Fuga"
"Nancy Weems","USA","29","Semifinal Chamber Music","Brahms","Piano Quintet in F minor, Op. 34"
"Nancy Weems","USA","29","Semifinal Recital","Schubert","Sonata in A, D.664"
"Nancy Weems","USA","29","Semifinal Recital","Bernstein","Touches"
"Nancy Weems","USA","29","Semifinal Recital","Bartók","Mikrokosmos (Vol. VI): Six Dances in Bulgarian Rhythm"
"Nancy Weems","USA","29","Semifinal Recital","Schumann","Carnaval, Op. 9"
"Nancy Weems","USA","29","Final Concerti","Mozart","Piano Concerto in C minor, K.491"
"Nancy Weems","USA","29","Final Concerti","Beethoven","Piano Concerto No.4 in G, Op.58"
"Roberto Urbay","Cuba","27","Preliminary Phase I","J.S. Bach","Italian Concerto, BWV 971"
"Roberto Urbay","Cuba","27","Preliminary Phase I","Beethoven","Sonata in F, Op. 10 No. 2"
"Roberto Urbay","Cuba","27","Preliminary Phase I","Chopin","Scherzo in B minor, Op. 20; Etude in A minor, Op. 10 No. 2"
"Roberto Urbay","Cuba","27","Preliminary Phase I","Liszt","Etude d’après Paganini No. 3 in G# minor (""La Campanella"")"
"Roberto Urbay","Cuba","27","Preliminary Phase II","Mozart","Sonata in A minor, K. 310"
"Roberto Urbay","Cuba","27","Preliminary Phase II","Beethoven","Sonata in C, Op. 53"
"Roberto Urbay","Cuba","27","Preliminary Phase II","Brahms","Variations and Fugue on a Theme of Handel, Op. 24"
"Roberto Urbay","Cuba","27","Preliminary Phase II","Granados","El Pelele (Goyesca)"
"Roberto Urbay","Cuba","27","Semifinal Chamber Music","Franck","Piano Quintet in F minor"
"Roberto Urbay","Cuba","27","Semifinal Recital","Schubert","Fantasia in C, D.760 (""Wanderer"")"
"Roberto Urbay","Cuba","27","Semifinal Recital","Bartók","Sonata"
"Roberto Urbay","Cuba","27","Semifinal Recital","Liszt","Valse de Méphisto No.1"
"Roberto Urbay","Cuba","27","Semifinal Recital","Bernstein","Touches"
"Roberto Urbay","Cuba","27","Final Concerti","Mozart","Piano Concerto in C minor, K.491"
"Roberto Urbay","Cuba","27","Final Concerti","Beethoven","Piano Concerto No.2 in A"
"William Tritt","Canada","29","Preliminary Phase I","J.S. Bach","Partita No. 2 in C minor, BWV 826"
"William Tritt","Canada","29","Preliminary Phase I","Haydn","Sonata in C, Hob. XVI-50"
"William Tritt","Canada","29","Preliminary Phase I","Chopin","Barcarolle in F#, Op. 60; Etude in A minor, Op. 25 No. 11"
"William Tritt","Canada","29","Preliminary Phase I","Rachmaninoff","Etude-Tableau in E flat minor, Op. 39 No. 5"
"William Tritt","Canada","29","Preliminary Phase II","Mozart","Sonata in A minor, K.310"
"William Tritt","Canada","29","Preliminary Phase II","Beethoven","Sonata in C, Op.53"
"William Tritt","Canada","29","Preliminary Phase II","Brahms","Variations and Fugue on a Theme of Handel, Op.24"
"William Tritt","Canada","29","Preliminary Phase II","Ravel","Gaspard de la nuit: Scarbo"
"William Tritt","Canada","29","Semifinal Chamber Music","Brahms","Piano Quintet in F minor, Op.34"
"William Tritt","Canada","29","Semifinal Recital","J.S. Bach","Prelude and Fugue in E flat (The Well-Tempered Clavier, Book I)"
"William Tritt","Canada","29","Semifinal Recital","Schumann","Kreisleriana, Op.16"
"William Tritt","Canada","29","Semifinal Recital","Bernstein","Touches"
"William Tritt","Canada","29","Semifinal Recital","Ravel","Gaspard de la nuit: Ondine"
"William Tritt","Canada","29","Semifinal Recital","Brahms","Variations on a Theme of Paganini, Op.35 (Book II)"
"William Tritt","Canada","29","Final Concerti","Beethoven","Piano Concerto No.2 in B flat, Op.19"
"William Tritt","Canada","29","Final Concerti","Prokofiev","Piano Concerto No.2 in G minor, Op.16"
"Robert Taub","USA","25","Preliminary Phase I","J.S. Bach","Partita No. 4 in D, BWV 828"
"Robert Taub","USA","25","Preliminary Phase I","Beethoven","Sonata in F minor, Op. 2 No. 1"
"Robert Taub","USA","25","Preliminary Phase I","Chopin","Ballade in G minor, Op. 23; Etude in F, Op. 10 No. 8"
"Robert Taub","USA","25","Preliminary Phase I","Liszt","Etude d’exécution transcendante No. 10 in F minor"
"Robert Taub","USA","25","Preliminary Phase II","Mozart","Sonata in F, K. 332"
