"Competitor Name","Country","Age","Stage","Composer","Associated Piece"
"Tianxu An","China","23","Preliminary Round","Gubaidulina","Chaconne"
"Tianxu An","China","23","Preliminary Round","Mendelssohn","Variations sérieuses, op. 54"
"Tianxu An","China","23","Preliminary Round","Hough","Fanfare Toccata"
"Tianxu An","China","23","Preliminary Round","Liszt","Mephisto Waltz No. 1"
"Tianxu An","China","23","Quarterfinal Round","Schumann","Toccata in C Major, op. 7"
"Tianxu An","China","23","Quarterfinal Round","Beethoven","Sonata No. 31 in A-flat Major, op. 110"
"Tianxu An","China","23","Quarterfinal Round","Scriabin","Sonata No. 5, op. 53"
"Tianxu An","China","23","Semifinal Round","Brahms","Sonata No. 1 in C Major, op. 1"
"Tianxu An","China","23","Semifinal Round","Prokofiev","Sonata No. 6 in A Major, op. 82"
"Tianxu An","China","23","Semifinal Round","Mozart","Piano Concerto No. 21 in C Major, K. 467"
"Tianxu An","China","23","Final Round","Saint-Saëns","Piano Concerto No. 2 in G Minor, op. 22"
"Tianxu An","China","23","Final Round","Rachmaninov","Piano Concerto No. 3 in D Minor, op. 30"
"Ilya Shmukler","Russia","27","Preliminary Round","Bach–Busoni","Toccata, Adagio and Fugue in C Major, BWV 564"
"Ilya Shmukler","Russia","27","Preliminary Round","Hough","Fanfare Toccata"
"Ilya Shmukler","Russia","27","Preliminary Round","Stravinsky","Trois mouvements de Pétrouchka"
"Ilya Shmukler","Russia","27","Quarterfinal Round","Medtner","Sonata reminiscenza, op. 38, no. 1"
"Ilya Shmukler","Russia","27","Quarterfinal Round","Debussy","Images, Book I"
"Ilya Shmukler","Russia","27","Quarterfinal Round","Scriabin","Fantasy in B Minor, op. 28"
"Ilya Shmukler","Russia","27","Semifinal Round","Brahms","Variations and Fugue on a Theme by Handel, op. 24"
"Ilya Shmukler","Russia","27","Semifinal Round","Prokofiev","Sonata No. 8 in B-flat Major, op. 84"
"Ilya Shmukler","Russia","27","Semifinal Round","Mozart","Piano Concerto No. 20 in D Minor, K. 466"
"Ilya Shmukler","Russia","27","Final Round","Grieg","Piano Concerto in A Minor, op. 16"
"Ilya Shmukler","Russia","27","Final Round","Rachmaninov","Piano Concerto No. 3 in D Minor, op. 30"
"Ziyu Liu","China","24","Preliminary Round","Schubert","Drei Klavierstücke, D. 946"
"Ziyu Liu","China","24","Preliminary Round","Bartók","Sonata, Sz. 80"
"Ziyu Liu","China","24","Preliminary Round","Hough","Fanfare Toccata"
"Ziyu Liu","China","24","Quarterfinal Round","Schumann","Humoreske in B-flat Major, op. 20"
"Ziyu Liu","China","24","Quarterfinal Round","Ravel","La valse"
"Ziyu Liu","China","24","Semifinal Round","Schubert","Impromptu in F Minor, D. 935, no. 1"
"Ziyu Liu","China","24","Semifinal Round","Mussorgsky","Pictures at an Exhibition"
"Ziyu Liu","China","24","Semifinal Round","Ginastera","Sonata No. 1, op. 22"
"Ziyu Liu","China","24","Semifinal Round","Mozart","Piano Concerto No. 23 in A Major, K. 488"
"Ziyu Liu","China","24","Final Round","Beethoven","Piano Concerto No. 4 in G Major, op. 58"
"Ziyu Liu","China","24","Final Round","Tchaikovsky","Piano Concerto No. 1 in B-flat Minor, op. 23"
"Marcel Tadokoro","France/Japan","28","Preliminary Round","Hough","Fanfare Toccata"
"Marcel Tadokoro","France/Japan","28","Preliminary Round","Rameau","""Musette en rondeau"" from Suite in E Minor, RCT 2"
"Marcel Tadokoro","France/Japan","28","Preliminary Round","Beethoven","Six Variations on an Original Theme in F Major, op. 34"
"Marcel Tadokoro","France/Japan","28","Preliminary Round","Liszt","Transcendental Etude No. 5 ""Feux follets"""
"Marcel Tadokoro","France/Japan","28","Preliminary Round","Stravinsky","Trois mouvements de Pétrouchka"
"Marcel Tadokoro","France/Japan","28","Quarterfinal Round","Couperin","La visionnaire"
"Marcel Tadokoro","France/Japan","28","Quarterfinal Round","Szymanowski","Variations in B-flat Minor, op. 3"
"Marcel Tadokoro","France/Japan","28","Quarterfinal Round","Ravel","Gaspard de la nuit"
"Marcel Tadokoro","France/Japan","28","Semifinal Round","Rameau","""Le Rappel des Oiseaux"" from Suite in E Minor, RCT 2"
"Marcel Tadokoro","France/Japan","28","Semifinal Round","Scriabin","Three Etudes, op. 65"
"Marcel Tadokoro","France/Japan","28","Semifinal Round","Rachmaninov","Variations on a Theme of Corelli, op. 42"
"Marcel Tadokoro","France/Japan","28","Semifinal Round","Debussy","Nocturne"
"Marcel Tadokoro","France/Japan","28","Semifinal Round","Brahms","Variations on a Theme by Paganini, op. 35, Books I and II"
"Marcel Tadokoro","France/Japan","28","Semifinal Round","Mozart","Piano Concerto No. 27 in B-flat Major, K. 595"
"Marcel Tadokoro","France/Japan","28","Final Round","Beethoven","Piano Concerto No. 1 in C Major, op. 15"
"Marcel Tadokoro","France/Japan","28","Final Round","Prokofiev","Piano Concerto No. 3 in C Major, op. 26"
"Jinhyung Park","South Korea","26","Preliminary Round","Hough","Fanfare Toccata"
"Jinhyung Park","South Korea","26","Preliminary Round","Debussy","Images, Book I"
"Jinhyung Park","South Korea","26","Preliminary Round","Liszt","Venezia e Napoli"
"Jinhyung Park","South Korea","26","Quarterfinal Round","Mendelssohn","Prelude and Fugue in E Minor, op. 35, no. 1"
"Jinhyung Park","South Korea","26","Quarterfinal Round","Brahms","Variations and Fugue on a Theme by Handel, op. 24"
"Jinhyung Park","South Korea","26","Semifinal Round","Prokofiev","Sonata No. 6 in A Minor, op. 82"
"Jinhyung Park","South Korea","26","Semifinal Round","Schumann","Fantasiestücke, op. 12"
"Jinhyung Park","South Korea","26","Semifinal Round","Mozart","Piano Concerto No. 20 in D Minor, K.466"
"Jinhyung Park","South Korea","26","Final Round","Beethoven","Piano Concerto No.4 in G Major, op.58"
"Jinhyung Park","South Korea","26","Final Round","Prokofiev","Piano Concerto No.3 in C Major, op.26"
"Georgijs Osokins","Latvia","27","Preliminary Round","Scriabin","Sonata No. 9, op. 68 (""Black Mass"")"
"Georgijs Osokins","Latvia","27","Preliminary Round","Hough","Fanfare Toccata"
"Georgijs Osokins","Latvia","27","Preliminary Round","Chopin","Sonata No. 3 in B Minor, op. 58"
"Georgijs Osokins","Latvia","27","Quarterfinal Round","Beethoven","Sonata No. 31 in A-flat Major, op. 110"
"Georgijs Osokins","Latvia","27","Quarterfinal Round","Chopin","Variations in A Major, B.37 ""Souvenir de Paganini"""
"Georgijs Osokins","Latvia","27","Quarterfinal Round","Liszt","Après une lecture du Dante: Fantasia quasi Sonata"
"Georgijs Osokins","Latvia","27","Semifinal Round","Bach–Busoni","Adagio in A Minor, BWV 564"
"Georgijs Osokins","Latvia","27","Semifinal Round","Mozart","Sonata No. 9 in D Major, K.311"
"Georgijs Osokins","Latvia","27","Semifinal Round","Takemitsu","Rain Tree Sketch II"
"Georgijs Osokins","Latvia","27","Semifinal Round","Chopin","Twelve Etudes, op.25"
"Georgijs Osokins","Latvia","27","Semifinal Round","Mozart","Piano Concerto No.25 in C Major, K.503"
"Georgijs Osokins","Latvia","27","Final Round","Beethoven","Piano Concerto No.4 in G Major, op.58"
"Georgijs Osokins","Latvia","27","Final Round","Tchaikovsky","Piano Concerto No.1 in B-flat Minor, op.23"
"Kate Liu","United States","28","Preliminary Round","Schubert","Allegretto in C Minor, D. 915"
"Kate Liu","United States","28","Preliminary Round","Hough","Fanfare Toccata"
"Kate Liu","United States","28","Preliminary Round","Prokofiev","Sonata No. 8 in B-flat Major, op. 84"
"Kate Liu","United States","28","Quarterfinal Round","Beethoven","Sonata No. 31 in A-flat Major, op. 110"
"Kate Liu","United States","28","Quarterfinal Round","Franck","Prélude, Choral et Fugue"
"Kate Liu","United States","28","Semifinal Round","Schumann","Arabeske in C Major, op. 18"
"Kate Liu","United States","28","Semifinal Round","Brahms","Sonata No. 3 in F Minor, op. 5"
"Kate Liu","United States","28","Semifinal Round","Mozart","Piano Concerto No. 20 in D Minor, K. 466"
"Kate Liu","United States","28","Final Round","Chopin","Piano Concerto No. 2 in F Minor, op. 21"
"Kate Liu","United States","28","Final Round","Prokofiev","Piano Concerto No. 2 in G Minor, op. 16"
"Elizaveta Kliuchereva","Russia","23","Preliminary Round","Hough","Fanfare Toccata"
"Elizaveta Kliuchereva","Russia","23","Preliminary Round","Franck","Prélude, Choral et Fugue"
"Elizaveta Kliuchereva","Russia","23","Preliminary Round","Liszt","Rhapsodie espagnole"
"Elizaveta Kliuchereva","Russia","23","Quarterfinal Round","Bach–Siloti","Prelude in B Minor, BWV 855a"
