"Competi","Country","Age","Stage","Composer","Associated Piece"
"Maurizio Baglini","Italy","26","Preliminary Round","Schubert","Sonata in G Major, D.894"
"Maurizio Baglini","Italy","26","Preliminary Round","Liszt","Après une lecture de Dante"
"Maurizio Baglini","Italy","26","Semifinal Recital","Bach-Busoni","Wachet auf, ruft uns die Stimme; Nun komm’ der Heiden Heiland; In dir ist Freude"
"Maurizio Baglini","Italy","26","Semifinal Recital","Scriabin","Sonata No. 3 in F-sharp Minor, Op. 23"
"Maurizio Baglini","Italy","26","Semifinal Recital","Judith Lang Zaimont","Impronta Digitale"
"Maurizio Baglini","Italy","26","Semifinal Recital","Schumann","Carnaval, Op. 9"
"Maurizio Baglini","Italy","26","Semifinal Chamber","Dvořák","Piano Quintet in A Major, Op.81"
"Maurizio Baglini","Italy","26","Final Round","Mozart","Piano Concerto No.25 in C Major, K.503"
"Maurizio Baglini","Italy","26","Final Round","Brahms","Piano Concerto No.1 in D Minor, Op.15"
"Dror Biran","Israel","24","Preliminary Round","Brahms","Four Ballades, Op. 10"
"Dror Biran","Israel","24","Preliminary Round","Shostakovich","Prelude and Fugue in A Major, Op. 87, No. 7"
"Dror Biran","Israel","24","Preliminary Round","Ravel","La Valse"
"Dror Biran","Israel","24","Semifinal Recital","Scarlatti","Sonata in B Minor, K.87"
"Dror Biran","Israel","24","Semifinal Recital","Schubert","Sonata in A Minor, D.784"
"Dror Biran","Israel","24","Semifinal Recital","Lowell Liebermann","Three Impromptus"
"Dror Biran","Israel","24","Semifinal Recital","Medtner","Sonata in C Major, Op.11, No.3"
"Dror Biran","Israel","24","Semifinal Recital","Rachmaninoff","Sonata No.2 in B-flat Minor, Op.36 (1931)"
"Dror Biran","Israel","24","Semifinal Chamber Music","Schumann","Piano Quintet in E-flat Major, Op.44"
"Dror Biran","Israel","24","Final Round","Beethoven","Piano Concerto No.2 in B-flat Major, Op.19"
"Dror Biran","Israel","24","Final Round","Beethoven","Piano Concerto No.5 in E-flat Major, Op.73"
"Yuri Blinov","Belarus","25","Preliminary Round","Prokofiev","Etude in D Minor, Op.2, No.1"
"Yuri Blinov","Belarus","25","Preliminary Round","Prokofiev","Etude in E Minor, Op.2, No.2"
"Yuri Blinov","Belarus","25","Preliminary Round","Prokofiev","Etude in C Minor, Op.2, No.3"
"Yuri Blinov","Belarus","25","Preliminary Round","Scriabin","Three Pieces, Op.45"
"Yuri Blinov","Belarus","25","Preliminary Round","Brahms","Sonata No.7, Op.64"
"Yuri Blinov","Belarus","25","Semifinal Round","Taneyev","Prelude and Fugue in G-sharp Minor, Op.29"
"Yuri Blinov","Belarus","25","Semifinal Round","Lowell Liebermann","Three Impromptus"
"Yuri Blinov","Belarus","25","Semifinal Round","Schubert","Klavierstück No.1 in E-flat Minor, D.946"
"Yuri Blinov","Belarus","25","Semifinal Round","Yuri Blinov","Impromptu and Fugue"
"Yuri Blinov","Belarus","25","Semifinal Round","Rachmaninoff","Études-tableaux, Op.39"
"Yuri Blinov","Belarus","25","Chamber Music","Franck","Piano Quintet in F Minor"
"Yuri Blinov","Belarus","25","Final Round","Chopin","Piano Concerto No.2 in F Minor, Op.21"
"Yuri Blinov","Belarus","25","Final Round","Prokofiev","Piano Concerto No.3 in C Major, Op.26"
"Stefania Cafaro","Italy","29","Preliminary Round","Schubert","Sonata in A Minor, D.845"
"Stefania Cafaro","Italy","29","Preliminary Round","Scriabin","Sonata No. 5, Op.53"
"Stefania Cafaro","Italy","29","Semifinal Recital","Beethoven","Sonata in E-flat Major, Op.7"
"Stefania Cafaro","Italy","29","Semifinal Recital","Schumann","Davidsbündlertänze, Op.6"
"Stefania Cafaro","Italy","29","Semifinal Recital","Lowell Liebermann","Three Impromptus"
"Stefania Cafaro","Italy","29","Semifinal Chamber","Brahms","Piano Quintet in F Minor, Op.34"
"Stefania Cafaro","Italy","29","Final Round","Mozart","Piano Concerto No.23 in A Major, K.488"
"Stefania Cafaro","Italy","29","Final Round","Saint-Saëns","Piano Concerto No.5 in F Major, Op.103 (""Egyptian"")"
"Yunjie Chen","China","20","Preliminary Round","Bach","Partita No. 5 in G Major, BWV 829"
"Yunjie Chen","China","20","Preliminary Round","Mozart","Sonata in B-flat Major, K.570"
"Yunjie Chen","China","20","Preliminary Round","Liszt","Mephisto Waltz No.1"
"Yunjie Chen","China","20","Preliminary Round","Muczynski","Toccata, Op.15"
"Yunjie Chen","China","20","Semifinal Recital","Beethoven","Sonata in E Major, Op.109"
"Yunjie Chen","China","20","Semifinal Recital","Lowell Liebermann","Three Impromptus"
"Yunjie Chen","China","20","Semifinal Recital","Schumann","Sonata in F-sharp Minor, Op.11"
"Yunjie Chen","China","20","Semifinal Recital","Prokofiev","Sonata No.7 in B-flat Major, Op.83"
"Yunjie Chen","China","20","Semifinal Chamber Music","Schumann","Piano Quintet in E-flat Major, Op.44"
"Yunjie Chen","China","20","Final Round","Beethoven","Piano Concerto No.2 in B-flat Major, Op.19"
"Yunjie Chen","China","20","Final Round","Rachmaninoff","Piano Concerto No.1 in F-sharp Minor, Op.1"
"Ying Feng","China","24","Preliminary Round","Haydn","Sonata in F Major, Hob. XVI:23"
"Ying Feng","China","24","Preliminary Round","Brahms","Sonata in F-sharp Minor, Op.2"
"Ying Feng","China","24","Preliminary Round","Liszt","Spanish Rhapsody"
"Ying Feng","China","24","Semifinal Round","Beethoven","Sonata in C Major, Op.2, No.3"
"Ying Feng","China","24","Semifinal Round","Liszt","Mephisto Waltz No.1"
"Ying Feng","China","24","Semifinal Round","Judith Lang Zaimont","Impronta Digitale"
"Ying Feng","China","24","Semifinal Round","Debussy","Images, Book II"
"Ying Feng","China","24","Semifinal Round","Prokofiev","Sonata No.3 in A Minor, Op.28"
"Ying Feng","China","24","Chamber Music","Brahms","Piano Quintet in F Minor, Op.34"
"Ying Feng","China","24","Final Round","Beethoven","Piano Concerto No.2 in B-flat Major, Op.19"
"Ying Feng","China","24","Final Round","Rachmaninoff","Piano Concerto No.3 in D Minor, Op.30"
"Davide Franceschetti","Italy","24","Preliminary Round","Schumann","Davidsbündlertänze, Op. 6"
"Davide Franceschetti","Italy","24","Preliminary Round","Ravel","La Valse"
"Davide Franceschetti","Italy","24","Semifinal Recital","Beethoven","33 Variations on a Waltz by Diabelli, Op. 120"
"Davide Franceschetti","Italy","24","Semifinal Recital","Brahms","Intermezzo in A Major, Op. 118, No. 2"
"Davide Franceschetti","Italy","24","Semifinal Recital","Lowell Liebermann","Three Impromptus"
"Davide Franceschetti","Italy","24","Semifinal Recital","Prokofiev","Suggestion diabolique, Op. 4, No. 4"
"Davide Franceschetti","Italy","24","Semifinal Chamber","Schumann","Piano Quintet in E-flat Major, Op.44"
"Davide Franceschetti","Italy","24","Final Round","Mozart","Piano Concerto No.21 in C Major, K.467"
"Davide Franceschetti","Italy","24","Final Round","Brahms","Piano Concerto No.1 in D Minor, Op.15"
"Tadashi Imai","Japan","25","Preliminary Round","Bartók","Three Etudes, Op. 18"
"Tadashi Imai","Japan","25","Preliminary Round","Takemitsu","Litany II"
"Tadashi Imai","Japan","25","Preliminary Round","Liszt","Ballade No. 2 in B Minor"
"Tadashi Imai","Japan","25","Preliminary Round","Chopin","Scherzo No. 3 in C-sharp Minor, Op. 39"
"Tadashi Imai","Japan","25","Preliminary Round","Berg","Sonata, Op. 1"
"Tadashi Imai","Japan","25","Semifinal Recital","Brahms","Rhapsody in B Minor, Op. 79, No. 1"
"Tadashi Imai","Japan","25","Semifinal Recital","Lowell Liebermann","Three Impromptus"
"Tadashi Imai","Japan","25","Semifinal Recital","Chopin","Sonata No. 3 in B Minor, Op. 58"
"Tadashi Imai","Japan","25","Semifinal Recital","Bernstein","Touches"
"Tadashi Imai","Japan","25","Semifinal Recital","Bartók","Sonata (1926)"
"Tadashi Imai","Japan","25","Chamber Music","Brahms","Piano Quintet in F Minor, Op.34"
"Tadashi Imai","Japan","25","Final Round","Mozart","Piano Concerto No.23 in A Major, K.488"
"Tadashi Imai","Japan","25","Final Round","Tchaikovsky","Piano Concerto No.1 in B-flat Minor, Op.23"
"Stanislav Ioudenitch","Uzbekistan","29","Preliminary Round","Rachmaninoff","Sonata No. 2 in B-flat Minor, Op. 36 (1913)"
"Stanislav Ioudenitch","Uzbekistan","29","Preliminary Round","Bach","Partita No. 2 in C Minor, BWV 826"
"Stanislav Ioudenitch","Uzbekistan","29","Preliminary Round","Liszt","Paganini Etude No. 2 in E-flat Major"
"Stanislav Ioudenitch","Uzbekistan","29","Preliminary Round","Liszt","Hungarian Rhapsody No. 6"
"Stanislav Ioudenitch","Uzbekistan","29","Semifinal Recital","Prokofiev","Sarcasms, Op. 17"
"Stanislav Ioudenitch","Uzbekistan","29","Semifinal Recital","Liszt","Spanish Rhapsody"
"Stanislav Ioudenitch","Uzbekistan","29","Semifinal Recital","Schubert","Moments musicaux, D.780"
"Stanislav Ioudenitch","Uzbekistan","29","Semifinal Recital","Judith Lang Zaimont","Impronta Digitale"
"Stanislav Ioudenitch","Uzbekistan","29","Semifinal Recital","Stravinsky","Trois mouvements de Petrouchka"
"Stanislav Ioudenitch","Uzbekistan","29","Chamber Music","Franck","Piano Quintet in F Minor"
"Stanislav Ioudenitch","Uzbekistan","29","Final Round","Mozart","Piano Concerto No.21 in C Major, K.467"
