numberofnotes,numberofchords,numberofmeasures,meandistancebetweenchords,meantimebetweenchords,key,timechanges,trillslength,avgtempo,32nd_and_shorter,16th,eighth,quarter,dotted quarter,half,dotted half,whole,Title,Duration (seconds)
655,10,52,3.2222222222222223,10.13888888888889,a minor,2,"[0, 0]",50,13,471,72,23,6,14,0,1,Bach BWV 807 Allemande English Suite,232
617,1,52,,,g minor,2,"[2, 1.5]",60,6,454,84,45,9,7,0,1,"J.S. Bach - English Suite no.3 - Allemande, BWV 808",192
332,12,52,3.727272727272727,1.2727272727272727,G major,8,"[0, 0]",154,0,0,189,103,1,22,0,1,J.S. Bach - French Suite No. 5 Gavotte in G Major (BWV 816),75
567,0,64,,,e minor,2,"[0, 0]",100,0,400,156,4,0,1,0,0,"Goldberg Variations BWV 988, Variation 1",115
1252,7,274,6,36.458333333333336,c minor,4,"[0, 0]",0,3,760,403,32,11,2,0,0,Bach JS - Partita No 2 in C minor BMV 826 Movements IV and V,183
1735,11,168,3.1,0.8,g minor,2,"[0, 0]",47.73731343283582,2,944,555,185,2,8,3,0,Fugue No. 16 BWV 885 in G Minor,162
648,6,56,3,20.7,a minor,2,"[0, 0]",0,0,371,212,1,45,0,7,0,Prélude No. 20 BWV 865 in A Minor,50
848,0,64,,,a minor,2,"[1, 1.0]",54,192,400,252,1,0,2,0,0,Prélude No. 20 BWV 889 in A Minor,284
932,10,72,3.6666666666666665,1.6111111111111112,A- major,2,"[0, 0]",0,0,553,257,80,1,25,3,0,Fugue No. 17 BWV 862 in A♭ Major,175
1407,15,100,2.857142857142857,3.2142857142857144,A- major,2,"[1, 0.75]",35.48594378,4,858,376,130,2,12,0,0,Fugue No. 17 BWV 886 in A♭ Major,211
1407,15,100,2.857142857142857,3.2142857142857144,A- major,2,"[1, 0.75]",35.48594378,4,858,376,130,2,12,0,0,Fugue No. 23 BWV 868 in B Major,170
1065,4,92,11,45.333333333333336,B major,2,"[6, 5.25]",49.26637554585153,18,763,249,12,1,11,0,0,Prélude No. 23 BWV 892 in B Major,52
1974,3,152,10.5,1.25,b minor,2,"[1, 2.0]",0,30,1058,656,144,1,64,1,4,Fugue No. 24 BWV 869 in B Minor,507
