Competitior Name,Country of Origin,Age,Stage,Composer,Piece,Ranking,Cliburn Yr,Column3
Alessandra Ammara,Italy,28,Preliminary Round,Scarlatti,Sonata in D Minor K.32,Semifinal,10th,Baroque
Alessandra Ammara,Italy,28,Preliminary Round,Scarlatti,Sonata in A Major K.39,Semifinal,10th,Baroque
Alessandra Ammara,Italy,28,Preliminary Round,Scarlatti,Sonata in E Major K.20,Semifinal,10th,Baroque
Alessandra Ammara,Italy,28,Preliminary Round,Scarlatti,Sonata in G Major K.125,Semifinal,10th,Baroque
Alessandra Ammara,Italy,28,Preliminary Round,Scriabin,Sonata No.5 in f-sharp major Op.53,Semifinal,10th,Romantic
Alessandra Ammara,Italy,28,Preliminary Round,Ravel,Gaspard de la nuit,Semifinal,10th,Impressionistic
Alessandra Ammara,Italy,28,Semifinal Recital,Debussy,Images Book I,Semifinal,10th,Impressionistic
Alessandra Ammara,Italy,28,Semifinal Recital,Liebermann,Three Impromptus,Semifinal,10th,Contemporary
Alessandra Ammara,Italy,28,Semifinal Recital,AlbEniz,El Albaicín from Iberia Book III,Semifinal,10th,Romantic
Alessandra Ammara,Italy,28,Semifinal Recital,Chopin,Twenty-four Preludes Op.28,Semifinal,10th,Romantic
Alessandra Ammara,Italy,28,Semifinal Chamber Music,Schumann,Piano Quintet in E-flat Major Op.44,Semifinal,10th,Romantic
Alessandra Ammara,Italy,28,Final Round,Chopin,Piano Concerto No.2 in F Minor Op.21,Semifinal,10th,Romantic
Alessandra Ammara,Italy,28,Final Round,Ravel,Piano Concerto in G Major,Semifinal,10th,Impressionistic
Andrew Armstrong,United States,23,Preliminary Round,Beethoven,"Sonata in C minor Op.13 ""Pathetique""",Preliminary,10th,Classical
Andrew Armstrong,United States,23,Preliminary Round,Prokofiev,Sonata No.4 in C Minor Op.29,Preliminary,10th,Contemporary
Andrew Armstrong,United States,23,Preliminary Round,Chopin,Nocturne in F-sharp Major Op.15 No.2,Preliminary,10th,Romantic
Andrew Armstrong,United States,23,Preliminary Round,Chopin,Variations Brillantes in B-flat Major Op.12,Preliminary,10th,Romantic
Andrew Armstrong,United States,23,Preliminary Round,Chopin,Scherzo No.1 in B Minor Op.20,Preliminary,10th,Romantic
Andrew Armstrong,United States,23,Semifinal Round,Dvořák,Piano Quintet in A Major Op.81,Preliminary,10th,Romantic
Andrew Armstrong,United States,23,Semifinal Recital,Brahms,Sonata No.1 in C Major Op.1,Preliminary,10th,Romantic
Andrew Armstrong,United States,23,Semifinal Recital,Ravel,Le Tombeau de Couperin,Preliminary,10th,Impressionistic
Andrew Armstrong,United States,23,Semifinal Recital,Liszt,Liebestraum No.3 in A-flat Major,Preliminary,10th,Romantic
Andrew Armstrong,United States,23,Semifinal Recital,Liszt,Transcendental Etude No.10,Preliminary,10th,Romantic
Andrew Armstrong,United States,23,Semifinal Recital,Bolcom,Nine Bagatelles,Preliminary,10th,Contemporary
Andrew Armstrong,United States,23,Final Round,Mozart,Piano Concerto No.17 in G Major K.453,Preliminary,10th,Classical
Andrew Armstrong,United States,23,Final Round,Rachmaninoff,Piano Concerto No.1 in F-sharp Minor Op.1,Preliminary,10th,Romantic
Yuri Bogdanov,Russia,25,Preliminary Round,Bach-Busoni,Chaconne in D Minor,Preliminary,10th,Baroque
Yuri Bogdanov,Russia,25,Preliminary Round,Debussy,Images Book I,Preliminary,10th,Impressionistic
Yuri Bogdanov,Russia,25,Preliminary Round,Schumann,Carnaval Op.9,Preliminary,10th,Romantic
Yuri Bogdanov,Russia,25,Semifinal Round,Franck,Piano Quintet in F Minor,Preliminary,10th,Romantic
Yuri Bogdanov,Russia,25,Semifinal Recital,Schubert,Drei Klavierstücke D.946,Preliminary,10th,Romantic
Yuri Bogdanov,Russia,25,Semifinal Recital,Gubaidulina,Chaconne,Preliminary,10th,Contemporary
Yuri Bogdanov,Russia,25,Semifinal Recital,Bolcom,Nine Bagatelles,Preliminary,10th,Contemporary
Yuri Bogdanov,Russia,25,Semifinal Recital,Mussorgsky,Pictures at an Exhibition,Preliminary,10th,Romantic
Yuri Bogdanov,Russia,25,Final Round,Mozart,Piano Concerto No.23 in A Major K.488,Preliminary,10th,Classical
Yuri Bogdanov,Russia,25,Final Round,Liszt,Piano Concerto No.1 in E-flat Major,Preliminary,10th,Romantic
Victor Chestopal,Russia,21,Preliminary Round,Liszt,Transcendental Etude No.4,Semifinal,10th,Romantic
Victor Chestopal,Russia,21,Preliminary Round,Debussy,Etude Pour les cinq doigts,Semifinal,10th,Impressionistic
Victor Chestopal,Russia,21,Preliminary Round,Mussorgsky,Pictures at an Exhibition,Semifinal,10th,Romantic
Victor Chestopal,Russia,21,Semifinal Chamber Music,Brahms,Piano Quintet in F Minor Op.34,Semifinal,10th,Romantic
Victor Chestopal,Russia,21,Semifinal Recital,Bolcom,Nine Bagatelles,Semifinal,10th,Contemporary
Victor Chestopal,Russia,21,Semifinal Recital,Beethoven,Sonata in A-flat Major Op.110,Semifinal,10th,Classical
Victor Chestopal,Russia,21,Semifinal Recital,Liszt,Sonata in B Minor,Semifinal,10th,Romantic
Victor Chestopal,Russia,21,Semifinal Recital,Balakirev,Islamey,Semifinal,10th,Romantic
Victor Chestopal,Russia,21,Final Round,Bach,Piano Concerto in D Minor BWV 1052,Semifinal,10th,Baroque
Victor Chestopal,Russia,21,Final Round,Tchaikovsky,Piano Concerto No.1 in B-flat Minor Op.23,Semifinal,10th,Romantic
