Stage,Stage Simple,Composer,Piece,Composite,Ranking
Preliminary,Preliminary,Mily Balakirev,Islamey,Mily Balakirev Islamey,1
Preliminary,Preliminary,Brahms,Sonata in C Major Op.1,Brahms Sonata in C Major Op.1,1
Preliminary,Preliminary,Bach,English Suite No.6 in D Minor BWV 811,Bach English Suite No.6 in D Minor BWV 811,1
Preliminary Phase 1,Preliminary,Bach,English Suite No.2 in A Minor BWV 807,Bach English Suite No.2 in A Minor BWV 807,1
Preliminary Phase 1,Preliminary,Chopin,Scherzo No.1 in B Minor Op.20,Chopin Scherzo No.1 in B Minor Op.20,1
Preliminary Phase 1,Preliminary,Chopin,Etude in C Major Op.10 No.1,Chopin Etude in C Major Op.10 No.1,1
Preliminary Phase 1,Preliminary,Liszt,Paganini Etude No.6 in A Minor,Liszt Paganini Etude No.6 in A Minor,1
Preliminary Phase 2,Preliminary,Mozart,Sonata in D Major K.311,Mozart Sonata in D Major K.311,1
Preliminary Phase 2,Preliminary,Beethoven,"Sonata in F Minor Op.57 ""Appassionata""","Beethoven Sonata in F Minor Op.57 ""Appassionata""",1
Preliminary Phase 2,Preliminary,Chopin,Fantasy in F Minor Op.49,Chopin Fantasy in F Minor Op.49,1
Preliminary Phase 2,Preliminary,Berg,Sonata Op.1,Berg Sonata Op.1,1
Preliminary Recital,Preliminary,Chopin,Nocturne in B Major Op.9 No.3,Chopin Nocturne in B Major Op.9 No.3,1
Preliminary Recital,Preliminary,Liszt,La Campanella,Liszt La Campanella,1
Preliminary Recital,Preliminary,Beethoven,Sonata in A-flat Major Op.110,Beethoven Sonata in A-flat Major Op.110,1
Preliminary Recital 2,Preliminary,Bach-Siloti,Prelude in B Minor,Bach-Siloti Prelude in B Minor,1
Preliminary Recital 2,Preliminary,Beethoven,Sonata in E Major Op.109,Beethoven Sonata in E Major Op.109,1
Preliminary Round,Preliminary,Bach,Partita No.2 in C Minor BWV 826,Bach Partita No.2 in C Minor BWV 826,1
Preliminary Round,Preliminary,Liszt,Hungarian Rhapsody No.6,Liszt Hungarian Rhapsody No.6,1
Preliminary Round,Preliminary,Liszt,Réminiscences de Don Juan,Liszt Réminiscences de Don Juan,1
Preliminary Round,Preliminary,Mozart,Sonata No.9 in D Major K.311,Mozart Sonata No.9 in D Major K.311,1
Preliminary Round,Preliminary,Chopin,"Variations on ""La ci darem la mano"" Op.2","Chopin Variations on ""La ci darem la mano"" Op.2",1
Quarterfinal Recital,Quarterfinal,Schubert,Sonata in C Minor D.958,Schubert Sonata in C Minor D.958,1
Quarterfinal Recital,Quarterfinal,Ravel,La Valse,Ravel La Valse,1
Quarterfinal Rond,Quarterfinal,Beethoven,"Variations and Fugue in E-flat Major Op.35 (""Eroica"")","Beethoven Variations and Fugue in E-flat Major Op.35 (""Eroica"")",1
Recital Program,Recital Program,Schumann,Carnaval Op.9,Schumann Carnaval Op.9,1
Semifinal Concerto,Semifinal,Mozart,Piano Concerto No.21 in C Major K.467,Mozart Piano Concerto No.21 in C Major K.467,1
Semifinal Concerto,Semifinal,Mozart,Piano Concerto No.22 in E-flat Major K.482,Mozart Piano Concerto No.22 in E-flat Major K.482,1
Semifinal Recital,Semifinal,Beethoven,Sonata in E Major Op.109,Beethoven Sonata in E Major Op.109,1
Semifinal Recital,Semifinal,Schumann,Carnaval Op.9,Schumann Carnaval Op.9,1
Semifinal Recital,Semifinal,Prokofiev,Sarcasms Op.17,Prokofiev Sarcasms Op.17,1
Semifinal Recital,Semifinal,Liszt,Spanish Rhapsody,Liszt Spanish Rhapsody,1
Semifinal Recital,Semifinal,Schubert,Moments Musicaux D.780,Schubert Moments Musicaux D.780,1
Semifinal Recital,Semifinal,Schubert,Impromptu in F Minor Op.142 No.1,Schubert Impromptu in F Minor Op.142 No.1,1
Semifinal Recital,Semifinal,Schubert,Impromptu in B-flat Major Op.142 No.3,Schubert Impromptu in B-flat Major Op.142 No.3,1
Semifinal Recital,Semifinal,Schumann,Symphonic Etudes Op.13,Schumann Symphonic Etudes Op.13,1
Semifinal Recital,Semifinal,Rachmaninoff,Etudes-Tableaux Op.33,Rachmaninoff Etudes-Tableaux Op.33,1
Semifinal Recital,Semifinal,Liszt,Spanish Rhapsody,Liszt Spanish Rhapsody,1
Semifinal Recital,Semifinal,Liszt,Transcendental Etudes,Liszt Transcendental Etudes,1
Semifinal Recital,Semifinal,Beethoven,Sonata in E Major Op.109,Beethoven Sonata in E Major Op.109,1
Semifinal Recital,Semifinal,Mussorgsky,Pictures at an Exhibition,Mussorgsky Pictures at an Exhibition,1
Semifinal Round,Semifinal,Liszt,Transcendental Etudes,Liszt Transcendental Etudes,1
Preliminary,Preliminary,Brahms,Intermezzo in B-flat Minor Op.117 No.2,Brahms Intermezzo in B-flat Minor Op.117 No.2,2
Preliminary Phase 1,Preliminary,Bach,Toccata in C Minor BWV 911,Bach Toccata in C Minor BWV 911,2
Preliminary Phase 1,Preliminary,Chopin,Ballade No.1 in G Minor Op.23,Chopin Ballade No.1 in G Minor Op.23,2
Preliminary Phase 1,Preliminary,Chopin,Etude in A Minor Op.25 No.11,Chopin Etude in A Minor Op.25 No.11,2
Preliminary Phase 1,Preliminary,Beethoven,Sonata in B-flat Major Op.22,Beethoven Sonata in B-flat Major Op.22,2
Preliminary Phase 1,Preliminary,Chopin,Ballade No.4 in F Minor Op.52,Chopin Ballade No.4 in F Minor Op.52,2
Preliminary Phase 1,Preliminary,Chopin,Etude in A Minor Op.25 No.11,Chopin Etude in A Minor Op.25 No.11,2
Preliminary Phase 2,Preliminary,Mozart,Sonata in C Minor K.457,Mozart Sonata in C Minor K.457,2
Preliminary Phase 2,Preliminary,Beethoven,Sonata in C Minor Op.111,Beethoven Sonata in C Minor Op.111,2
Preliminary Phase 2,Preliminary,Liszt,Mephisto Waltz No.1,Liszt Mephisto Waltz No.1,2
Preliminary Phase 2,Preliminary,Mozart,Sonata in D Major K.576,Mozart Sonata in D Major K.576,2
Preliminary Recital,Preliminary,Schumann,Fantasiestücke Op.12,Schumann Fantasiestücke Op.12,2
Preliminary Recital,Preliminary,Liszt,Spanish Rhapsody,Liszt Spanish Rhapsody,2
Preliminary Recital,Preliminary,Bach,Toccata in C Minor BWV 911,Bach Toccata in C Minor BWV 911,2
Preliminary Recital 1,Preliminary,Bach,French Suite No.5 in G Major BWV 816,Bach French Suite No.5 in G Major BWV 816,2
Preliminary Recital 1,Preliminary,Bartók,Three Etudes Op.18,Bartók Three Etudes Op.18,2
Preliminary Recital 1,Preliminary,Schumann,Symphonic Etudes Op.13,Schumann Symphonic Etudes Op.13,2
Preliminary Recital 2,Preliminary,Ravel,Gaspard de la Nuit,Ravel Gaspard de la Nuit,2
Preliminary Recital 2,Preliminary,Bartók,Out of Doors,Bartók Out of Doors,2
Preliminary Round,Preliminary,Mozart,Sonata in F Major K.332,Mozart Sonata in F Major K.332,2
Preliminary Round,Preliminary,Chopin,Sonata No.2 in B-flat Minor Op.35,Chopin Sonata No.2 in B-flat Minor Op.35,2
Preliminary Round,Preliminary,Schumann,Fantasiestücke Op.12,Schumann Fantasiestücke Op.12,2
Preliminary Round,Preliminary,Liszt,Réminiscences de Don Juan,Liszt Réminiscences de Don Juan,2
Preliminary Round,Preliminary,rachmaninoff,Etudes-Tableaux Op.33,rachmaninoff Etudes-Tableaux Op.33,2
Quarterfinal,Quarterfinal,Bartok,Sonata Sz. 80,Bartok Sonata Sz. 80,2
Quarterfinal Recital,Quarterfinal,Chopin,Mazurka Op.59 No.1 in A Minor,Chopin Mazurka Op.59 No.1 in A Minor,2
