Person,Gender,Nationality,Birth Year,Composer,Piece Name,Round,Placement
Jonathan Fournel,Male,French,1993,Wolfgang Amadeus Mozart,Molto allegro (Sonata n. 14 in C minor KV 457),First Round,1st
Jonathan Fournel,Male,French,1993,Fryderyk Chopin,Etude in G flat major op. 10/5,First Round,1st
Jonathan Fournel,Male,French,1993,Sergey Rachmaninov,Etude,First Round,1st
Jonathan Fournel,Male,French,1993,Fryderyk Chopin,Scherzo n. 3 in C sharp minor op. 39,First Round,1st
Jonathan Fournel,Male,French,1993,Pierre Jodlowski,Nocturne,Semifinal,1st
Jonathan Fournel,Male,French,1993,Fryderyk Chopin,Nocturne n. 17 in B major op. 62/1,Semifinal,1st
Jonathan Fournel,Male,French,1993,Johannes Brahms,Variations and Fugue on a Theme by Haendel op. 24,Semifinal,1st
Jonathan Fournel,Male,French,1993,Wolfgang Amadeus Mozart,Concerto n. 18 in B flat major KV 456,Semifinal,1st
Jonathan Fournel,Male,French,1993,Bruno Mantovani,D'un jardin féérique,Final,1st
Jonathan Fournel,Male,French,1993,Johannes Brahms,Concerto n. 2 in B flat major op. 83,Final,1st
Keigo Mukawa,Male,Japanese,1993,Joseph Haydn,Allegro (Sonata in E flat major Hob. XVI:49),First Round,3rd
Keigo Mukawa,Male,Japanese,1993,Franz Liszt,Etude d'exécution transcendante n. 10,First Round,3rd
Keigo Mukawa,Male,Japanese,1993,Sergey Prokofiev,Etude in D minor op. 2/1,First Round,3rd
Keigo Mukawa,Male,Japanese,1993,Claude Debussy,Feux d'artifice (Préludes II),First Round,3rd
Keigo Mukawa,Male,Japanese,1993,Pierre Jodlowski,Nocturne,Semifinal,3rd
Keigo Mukawa,Male,Japanese,1993,Jean Philippe Rameau,Gavotte et six doubles (Nouvelles Suites de Pièces de Clavecin),Semifinal,3rd
Keigo Mukawa,Male,Japanese,1993,Sergey Rachmaninov,Variations on a theme of Corelli op. 42,Semifinal,3rd
Keigo Mukawa,Male,Japanese,1993,Dmitry Shostakovich,Prelude and Fugue in D flat major op. 87/15,Semifinal,3rd
Keigo Mukawa,Male,Japanese,1993,Wolfgang Amadeus Mozart,Concerto n. 27 in B flat major KV 595,Semifinal,3rd
Keigo Mukawa,Male,Japanese,1993,Bruno Mantovani,D'un jardin féérique,Final,3rd
Keigo Mukawa,Male,Japanese,1993,Sergey Prokofiev,Concerto n. 2 in G minor op. 16,Final,3rd
Sergei Redkin,Male,Russian,1991,Joseph Haydn,Moderato (Sonata in F major Hob. XVI:23),First Round,2nd
