,Competitior Name,Country of Origin,Age,Composite
5,Andrey Gugnin.,Russia,29.0,Mily Balakirev Islamey
6,Jon Nakamatsu,United States,28.0,Brahms Sonata in C Major Op.1
9,Simone Pedroni,Italy,24.0,Bach English Suite No.6 in D Minor BWV 811
12,JosE Feghali,Brazil,24.0,Bach English Suite No.2 in A Minor BWV 807
14,JosE Feghali,Brazil,24.0,Chopin Scherzo No.1 in B Minor Op.20
15,JosE Feghali,Brazil,24.0,Chopin Etude in C Major Op.10 No.1
16,JosE Feghali,Brazil,24.0,Liszt Paganini Etude No.6 in A Minor
17,JosE Feghali,Brazil,24.0,Mozart Sonata in D Major K.311
18,JosE Feghali,Brazil,24.0,"Beethoven Sonata in F Minor Op.57 ""Appassionata"""
19,JosE Feghali,Brazil,24.0,Chopin Fantasy in F Minor Op.49
20,JosE Feghali,Brazil,24.0,Berg Sonata Op.1
22,Alexander Kobrin,Russia,25.0,Chopin Nocturne in B Major Op.9 No.3
26,Nobuyuki Tsujii,Japan,20.0,Liszt La Campanella
27,Haochen Zhang,China,19.0,Beethoven Sonata in A-flat Major Op.110
36,Vadym Kholodenko,Ukraine,26.0,Bach-Siloti Prelude in B Minor
37,Vadym Kholodenko,Ukraine,26.0,Beethoven Sonata in E Major Op.109
40,Stanislav Ioudenitch,Uzbekistan,29.0,Bach Partita No.2 in C Minor BWV 826
42,Stanislav Ioudenitch,Uzbekistan,29.0,Liszt Hungarian Rhapsody No.6
46,Olga Kern,Russia,26.0,Liszt Réminiscences de Don Juan
49,Yunchan Lim,South Korea,18.0,Mozart Sonata No.9 in D Major K.311
50,Yunchan Lim,South Korea,18.0,"Chopin Variations on ""La ci darem la mano"" Op.2"
51,Yekwon Sunwoo,South Korea,28.0,Schubert Sonata in C Minor D.958
52,Yekwon Sunwoo,South Korea,28.0,Ravel La Valse
55,Yunchan Lim,South Korea,18.0,"Beethoven Variations and Fugue in E-flat Major Op.35 (""Eroica"")"
56,JosE Feghali,Brazil,24.0,Schumann Carnaval Op.9
63,Yekwon Sunwoo,South Korea,28.0,Mozart Piano Concerto No.21 in C Major K.467
64,Yunchan Lim,South Korea,18.0,Mozart Piano Concerto No.22 in E-flat Major K.482
67,Jon Nakamatsu,United States,28.0,Beethoven Sonata in E Major Op.109
68,Jon Nakamatsu,United States,28.0,Schumann Carnaval Op.9
69,Stanislav Ioudenitch,Uzbekistan,29.0,Prokofiev Sarcasms Op.17
70,Stanislav Ioudenitch,Uzbekistan,29.0,Liszt Spanish Rhapsody
71,Stanislav Ioudenitch,Uzbekistan,29.0,Schubert Moments Musicaux D.780
74,Olga Kern,Russia,26.0,Schubert Impromptu in F Minor Op.142 No.1
75,Olga Kern,Russia,26.0,Schubert Impromptu in B-flat Major Op.142 No.3
81,Alexander Kobrin,Russia,25.0,Schumann Symphonic Etudes Op.13
82,Alexander Kobrin,Russia,25.0,Rachmaninoff Etudes-Tableaux Op.33
87,Haochen Zhang,China,19.0,Liszt Spanish Rhapsody
89,Vadym Kholodenko,Ukraine,26.0,Liszt Transcendental Etudes
90,Yekwon Sunwoo,South Korea,28.0,Beethoven Sonata in E Major Op.109
96,Simone Pedroni,Italy,24.0,Mussorgsky Pictures at an Exhibition
97,Yunchan Lim,South Korea,18.0,Liszt Transcendental Etudes
99,Valery Kuleshov,Russia,30.0,Brahms Intermezzo in B-flat Minor Op.117 No.2
101,Philippe Bianconi,France,25.0,Bach Toccata in C Minor BWV 911
103,Philippe Bianconi,France,25.0,Chopin Ballade No.1 in G Minor Op.23
104,Philippe Bianconi,France,25.0,Chopin Etude in A Minor Op.25 No.11
107,JosE Carlos Cocarelli,Brazil,30.0,Beethoven Sonata in B-flat Major Op.22
108,JosE Carlos Cocarelli,Brazil,30.0,Chopin Ballade No.4 in F Minor Op.52
