ParticipantName,ParticipantCountry,R1Composer,R1Piece,R1PCString,R2Composer,R2Piece,R2PCString,R3Composer,R3Piece,R3PCString,Placement,Year
Aleksandr Kliuchko,Russia,Franz Liszt ," Étude in F-flat major, Op. 10 No. 8  "," Étude in F-flat major, Op. 10 No. 8  | Franz Liszt ",NaN,NaN,NaN,NaN,NaN,NaN,NaN,2023
Aleksandr Kliuchko,Russia,Wilde Jagd, Étude d'exécution transcendante No. 8, Étude d'exécution transcendante No. 8 Wilde Jagd,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2023
Aleksandr Kliuchko,Russia,Johann Sebastian Bach  ,"Prelude and Fugue in B-flat minor, BWV 867, from The Well-Tempered Clavier, Book 1 ","   Johann Sebastian Bach  | Prelude and Fugue in B-flat minor, BWV 867, from The Well-Tempered Clavier, Book 1 ",  Franz Liszt  ,Four Études d'exécution transcendante ,  Franz Liszt  | Four Études d'exécution transcendante ,Pyotr Tchaikovsky  ,"Piano Concerto No. 1 in B-flat minor, Op. 23 ","  Pyotr Tchaikovsky  | Piano Concerto No. 1 in B-flat minor, Op. 23 ",NaN,2023
Aleksandr Kliuchko,Russia,Ludwig van Beethoven  ,"Piano Sonata No. 32 in C minor, Op. 111 "," Ludwig van Beethoven  | Piano Sonata No. 32 in C minor, Op. 111 ",Pyotr Tchaikovsky , Preludio / Molto vivace / Paysage / Mazeppa  , Preludio / Molto vivace / Paysage / Mazeppa  | Pyotr Tchaikovsky ,Johannes Brahms , Allegro non troppo e molto maestoso – Allegro con spirito / Andantino semplice – Prestissimo / Allegro con fuoco  , Allegro non troppo e molto maestoso – Allegro con spirito / Andantino semplice – Prestissimo / Allegro con fuoco  | Johannes Brahms ,NaN,2023
Aleksandr Kliuchko,Russia,Frederic Chopin ," Étude-tableau in E-flat-flat minor, Op. 33 No. 6  "," Étude-tableau in E-flat-flat minor, Op. 33 No. 6  | Frederic Chopin ",Sergei Rachmaninoff ," Piano Sonata No. 2, Op. 36 (-flat 2nd version)   Allegro agitato / Non allegro / L'istesso tempo – Allegro molto"," Piano Sonata No. 2, Op. 36 (-flat 2nd version)  | Allegro agitato / Non allegro / L'istesso tempo – Allegro molto",NaN,NaN,NaN,NaN,2023
Aleksandr Kliuchko,Russia,Sergei Rachmaninoff ," Passé lointain, Op. 72 No. 17  "," Passé lointain, Op. 72 No. 17  | Sergei Rachmaninoff ",Sergei Rachmaninoff ," Variations in B-flat minor, Op. 3  "," Variations in B-flat minor, Op. 3  | Sergei Rachmaninoff ",NaN,NaN,NaN,NaN,2023
Aleksandr Kliuchko,Russia,Pyotr Tchaikovsky , Maestoso – Allegro con brio ed appassionato / Arietta. Adagio molto semplice cantabile  , Maestoso – Allegro con brio ed appassionato / Arietta. Adagio molto semplice cantabile  | Pyotr Tchaikovsky ,Karol Szymanowski ," Scherzo (Allegro molto vivace)-flat from Symphony No. 6, Op. 74 (arranged by Samuil Feinberg)  "," Scherzo (Allegro molto vivace)-flat from Symphony No. 6, Op. 74 (arranged by Samuil Feinberg)  | Karol Szymanowski ",Johannes Brahms ," Piano Concerto No. 2 in B-flat major, Op. 83  Allegro non troppo / Allegro appassionato / Andante / Allegretto grazioso"," Piano Concerto No. 2 in B-flat major, Op. 83  | Allegro non troppo / Allegro appassionato / Andante / Allegretto grazioso",NaN,2023
Alessandro Villalva,Italy,Johann Sebastian Bach  ,"Prelude and Fugue in B-flat major, BWV 866, from Well-Tempered Clavier, Part 1 ","   Johann Sebastian Bach  | Prelude and Fugue in B-flat major, BWV 866, from Well-Tempered Clavier, Part 1 ",  Wolfgang Amadeus Mozart  ,"Variations on a theme by Paisiello, KV 398 ","  Wolfgang Amadeus Mozart  | Variations on a theme by Paisiello, KV 398 ",  Sergei Rachmaninoff  ,"Piano Concerto No. 2 in C minor, Op. 18 ","  Sergei Rachmaninoff  | Piano Concerto No. 2 in C minor, Op. 18 ",NaN,2023
Alessandro Villalva,Italy, Pyotr Tchaikovsky  ,Four excerpts from The Seasons , Pyotr Tchaikovsky  | Four excerpts from The Seasons ,Sergei Prokofiev ," Impromptu, Op. 72 No. 1  "," Impromptu, Op. 72 No. 1  | Sergei Prokofiev ",NaN,NaN,NaN,NaN,2023
Alessandro Villalva,Italy,Frédéric Chopin , March (Song of the Lark) / August (The Harvest) / October (Autumn Song) / December (Christmas)  , March (Song of the Lark) / August (The Harvest) / October (Autumn Song) / December (Christmas)  | Frédéric Chopin ,Sergei Prokofiev ," Piano Sonata No. 7 in B-flat major, Op. 83  Allegro inquieto / Andante caloroso / Precipitato"," Piano Sonata No. 7 in B-flat major, Op. 83  | Allegro inquieto / Andante caloroso / Precipitato",NaN,NaN,NaN,NaN,2023
