Participant Name,Participant Country,Round I Pieces,Round II Pieces,Round III Pieces,Pieces
Dmitry Masleev,Russia,"Johann S. Bach. Prélude and Fugue in C-sharp major, Well-Tempered Clavier,Book 1, BWV 848', 'Ludwig van Beethoven. Sonata 26 in E-flat major (The Farewell), Op. 81a', 'Pyotr Tchaikovsky. Chant élégiaque, Dance Scene (Invitation to a Trepak),Op.72,14 and 18', 'Frédéric Chopin. Étude in B minor, op. 25,10', 'Franz Liszt. Étude Wilde Jagd from Transcendental Études, S. 139,8', 'Sergei Rachmaninov. Étude-tableau in D major, Op. 39,9', ","Joseph Haydn. Sonata in C major, Hob. XVI/48', 'Stage 1', 'Camille Saint-Sa√´ns – Franz Liszt. Danse macabre (arr. by Vladimir Horowitz)', 'Sergei Rachmaninov. Variations on a Theme of Corelli in D minor, Op. 42', 'Felix Mendelssohn – Sergei Rachmaninov. Scherzo from the Incidental music to Shakespeare's A Midsummer Night\\'s Dream', 'Franz Liszt. Totentanz, S. 525', 'Stage 2', 'Wolfgang A. Mozart. Piano Concerto 20 in D minor, K. 466', ","'Pyotr Tchaikovsky. Piano Concerto 1 in B-flat minor, Op. 23', 'Sergei Prokofiev. Piano Concerto 3 in C major, Op. 26']","['Round I', 'Johann S. Bach. Prélude and Fugue in C-sharp major, Well-Tempered Clavier,Book 1, BWV 848', 'Ludwig van Beethoven. Sonata 26 in E-flat major (The Farewell), Op. 81a', 'Pyotr Tchaikovsky. Chant élégiaque, Dance Scene (Invitation to a Trepak),Op.72,14 and 18', 'Frédéric Chopin. Étude in B minor, op. 25,10', 'Franz Liszt. Étude Wilde Jagd from Transcendental Études, S. 139,8', 'Sergei Rachmaninov. Étude-tableau in D major, Op. 39,9', 'Round II', 'Joseph Haydn. Sonata in C major, Hob. XVI/48', 'Stage 1', 'Camille Saint-Sa√´ns – Franz Liszt. Danse macabre (arr. by Vladimir Horowitz)', 'Sergei Rachmaninov. Variations on a Theme of Corelli in D minor, Op. 42', 'Felix Mendelssohn – Sergei Rachmaninov. Scherzo from the Incidental music to Shakespeare's A Midsummer Night\\'s Dream', 'Franz Liszt. Totentanz, S. 525', 'Stage 2', 'Wolfgang A. Mozart. Piano Concerto 20 in D minor, K. 466', 'Round III', 'Pyotr Tchaikovsky. Piano Concerto 1 in B-flat minor, Op. 23', 'Sergei Prokofiev. Piano Concerto 3 in C major, Op. 26']"
George Li,USA,"Johann S. Bach. Prélude and Fugue in G minor, Well-Tempered Clavier, Book 2,BWV 885', 'Ludwig van Beethoven. Sonata 32 in C minor, Op. 111', 'Pyotr Tchaikovsky. Theme and Variations in F major, Op. 19,6', 'Frédéric Chopin. Étude in A minor, Op. 10,2', 'Sergei Rachmaninov. Étude-tableau in E-flat minor, Op. 33,6', 'Franz Liszt. Étude La Campanella in G-sharp minor from Grandes Études de Paganini, S. 141,3', ","Sergei Rachmaninov. Variations on a Theme of Corelli, Op. 42', 'Stage 1', 'Franz Liszt. Hungarian Rhapsody No.2 in C-sharp minor, S. 244 (cadenza bySergei Rachmaninov)', 'Pyotr Tchaikovsky. Méditation, Op. 72,5; Valse de salon, Op. 51,1', 'Frédéric Chopin. Variations ""L√† ci darem la mano"" from Mozart's opera DonGiovanni, in B flat major Op. 2 (Jan Ekier edition)', 'Stage 2', 'Wolfgang A. Mozart. Piano Concerto 23 in A major, K. 488', ","'Pyotr Tchaikovsky. Piano Concerto 1 in B-flat minor, Op. 23', 'Sergei Prokofiev. Piano Concerto 3 in C major, Op. 26']","['Round I', 'Johann S. Bach. Prélude and Fugue in G minor, Well-Tempered Clavier, Book 2,BWV 885', 'Ludwig van Beethoven. Sonata 32 in C minor, Op. 111', 'Pyotr Tchaikovsky. Theme and Variations in F major, Op. 19,6', 'Frédéric Chopin. Étude in A minor, Op. 10,2', 'Sergei Rachmaninov. Étude-tableau in E-flat minor, Op. 33,6', 'Franz Liszt. Étude La Campanella in G-sharp minor from Grandes Études de Paganini, S. 141,3', 'Round II', 'Sergei Rachmaninov. Variations on a Theme of Corelli, Op. 42', 'Stage 1', 'Franz Liszt. Hungarian Rhapsody No.2 in C-sharp minor, S. 244 (cadenza bySergei Rachmaninov)', 'Pyotr Tchaikovsky. Méditation, Op. 72,5; Valse de salon, Op. 51,1', 'Frédéric Chopin. Variations ""L√† ci darem la mano"" from Mozart's opera DonGiovanni, in B flat major Op. 2 (Jan Ekier edition)', 'Stage 2', 'Wolfgang A. Mozart. Piano Concerto 23 in A major, K. 488', 'Round III', 'Pyotr Tchaikovsky. Piano Concerto 1 in B-flat minor, Op. 23', 'Sergei Prokofiev. Piano Concerto 3 in C major, Op. 26']"
Lukas Geniusas,Russia ‚Äî Lithuania,"Johann S. Bach. Prélude and Fugue in A minor, Well-Tempered Clavier, Book 2,BWV 889', 'Ludwig van Beethoven. Sonata 3 in C major, Op. 2,3', 'Pyotr Tchaikovsky. Romance in F minor, Op. 5; Scherzo Humoresque, Op.19,2', 'Frédéric Chopin. Étude in A minor, Op. 10,2', 'Sergei Rachmaninov. Étude-tableau in C major, Op. 33,2', 'Franz Liszt. Étude Wilde Jagd from Transcendental Études, S. 139,8', ","Johannes Brahms. Sonata 1 in C major, Op. 1', 'Stage 1', 'Frédéric Chopin. Études in E major, C-sharp minor, G-flat major, and E-flat minor,Op. 10,3-6', 'Sergei Prokofiev. Sonata 7 in B-flat major, Op. 83', 'Stage 2', 'Wolfgang A. Mozart. Piano Concerto 20 in D minor, K. 466', ","'Pyotr Tchaikovsky. Piano Concerto 2 in G major, Op. 44', 'Sergei Rachmaninov. Piano Concerto 3 in D minor, Op. 30']","['Round I', 'Johann S. Bach. Prélude and Fugue in A minor, Well-Tempered Clavier, Book 2,BWV 889', 'Ludwig van Beethoven. Sonata 3 in C major, Op. 2,3', 'Pyotr Tchaikovsky. Romance in F minor, Op. 5; Scherzo Humoresque, Op.19,2', 'Frédéric Chopin. Étude in A minor, Op. 10,2', 'Sergei Rachmaninov. Étude-tableau in C major, Op. 33,2', 'Franz Liszt. Étude Wilde Jagd from Transcendental Études, S. 139,8', 'Round II', 'Johannes Brahms. Sonata 1 in C major, Op. 1', 'Stage 1', 'Frédéric Chopin. Études in E major, C-sharp minor, G-flat major, and E-flat minor,Op. 10,3-6', 'Sergei Prokofiev. Sonata 7 in B-flat major, Op. 83', 'Stage 2', 'Wolfgang A. Mozart. Piano Concerto 20 in D minor, K. 466', 'Round III', 'Pyotr Tchaikovsky. Piano Concerto 2 in G major, Op. 44', 'Sergei Rachmaninov. Piano Concerto 3 in D minor, Op. 30']"
Daniel Kharitonov,Russia,"Johann S. Bach. Prélude and Fugue in B-flat minor, Well-Tempered Clavier, Book2, BWV 891', 'Ludwig van Beethoven. Sonata 23 in F minor, Op. 57', 'Pyotr Tchaikovsky. Méditation, Op. 72,5', 'Franz Liszt. Étude in F minor from Transcendental Études, S. 139,10', 'Frédéric Chopin. Étude in G-sharp minor, op. 25,6', 'Sergei Rachmaninov. Étude-tableau in D major, Op. 39,9', ","Johann S. Bach – Ferruccio Busoni. Chaconne from the Partita No.2 for violin inD minor, BWV 1004', 'Stage 1', 'Franz Liszt. Petrarca Sonnet 123 from Années de p√®lerinage, S. 161,6', 'Franz Liszt. Hungarian Rhapsody 12 in C-sharp minor, S. 244', 'Sergei Rachmaninov. Prélude in G-flat major, Op.23,10', 'Sergei Rachmaninov. Sonata 2 in B-flat minor, Op. 36 (second edition)', 'Stage 2', 'Wolfgang A. Mozart. Piano Concerto 9 in E-flat major, K. 271', ","'Pyotr Tchaikovsky. Piano Concerto 1 in B-flat minor, Op. 23', 'Franz Liszt. Piano Concerto 1 in E-flat major, S. 124']","['Round I', 'Johann S. Bach. Prélude and Fugue in B-flat minor, Well-Tempered Clavier, Book2, BWV 891', 'Ludwig van Beethoven. Sonata 23 in F minor, Op. 57', 'Pyotr Tchaikovsky. Méditation, Op. 72,5', 'Franz Liszt. Étude in F minor from Transcendental Études, S. 139,10', 'Frédéric Chopin. Étude in G-sharp minor, op. 25,6', 'Sergei Rachmaninov. Étude-tableau in D major, Op. 39,9', 'Round II', 'Johann S. Bach – Ferruccio Busoni. Chaconne from the Partita No.2 for violin inD minor, BWV 1004', 'Stage 1', 'Franz Liszt. Petrarca Sonnet 123 from Années de p√®lerinage, S. 161,6', 'Franz Liszt. Hungarian Rhapsody 12 in C-sharp minor, S. 244', 'Sergei Rachmaninov. Prélude in G-flat major, Op.23,10', 'Sergei Rachmaninov. Sonata 2 in B-flat minor, Op. 36 (second edition)', 'Stage 2', 'Wolfgang A. Mozart. Piano Concerto 9 in E-flat major, K. 271', 'Round III', 'Pyotr Tchaikovsky. Piano Concerto 1 in B-flat minor, Op. 23', 'Franz Liszt. Piano Concerto 1 in E-flat major, S. 124']"
Sergei Redkin,Russia,"Johann S. Bach. Prélude and Fugue in B major, Well-Tempered Clavier, Book 2,BWV 892', 'Ludwig van Beethoven. Sonata 30 in E major, Op. 109', 'Frédéric Chopin. Étude in F major, Op. 10,8', 'Franz Liszt. Chasse-Neige from Transcendental Études, S. 139,12', 'Sergei Rachmaninov. Étude-tableau in A minor, Op. 39,6', 'Pyotr Tchaikovsky. From 18 pieces: Echo rustique, Dialogue, Un poco di Chopinand Dance Scene, Op.72/13, 8, 15, 18', ","Johann S. Bach. Toccata in C minor, BWV 911', 'Stage 1', 'Franz Schubert – Franz Liszt. Aufenthalt, Liebesbotschaf, Der M√ºller und derBach, Erlk√∂nig', 'Sergei Prokofiev. Sonata 8 in B-flat major, Op. 84', 'Stage 2', 'Wolfgang A. Mozart. Piano Concerto 12 in A major, K. 414', ","'Pyotr Tchaikovsky. Piano Concerto 1 in B-flat minor, Op. 23', 'Sergei Prokofiev. Piano Concerto 2 in G minor, Op. 16']","['Round I', 'Johann S. Bach. Prélude and Fugue in B major, Well-Tempered Clavier, Book 2,BWV 892', 'Ludwig van Beethoven. Sonata 30 in E major, Op. 109', 'Frédéric Chopin. Étude in F major, Op. 10,8', 'Franz Liszt. Chasse-Neige from Transcendental Études, S. 139,12', 'Sergei Rachmaninov. Étude-tableau in A minor, Op. 39,6', 'Pyotr Tchaikovsky. From 18 pieces: Echo rustique, Dialogue, Un poco di Chopinand Dance Scene, Op.72/13, 8, 15, 18', 'Round II', 'Johann S. Bach. Toccata in C minor, BWV 911', 'Stage 1', 'Franz Schubert – Franz Liszt. Aufenthalt, Liebesbotschaf, Der M√ºller und derBach, Erlk√∂nig', 'Sergei Prokofiev. Sonata 8 in B-flat major, Op. 84', 'Stage 2', 'Wolfgang A. Mozart. Piano Concerto 12 in A major, K. 414', 'Round III', 'Pyotr Tchaikovsky. Piano Concerto 1 in B-flat minor, Op. 23', 'Sergei Prokofiev. Piano Concerto 2 in G minor, Op. 16']"
NA ,Russia,"Johann S. Bach. Prélude and Fugue in G major, Well-Tempered Clavier, Book 1,BWV 860', 'Ludwig van Beethoven. Sonata 23 in F minor (Appassionata), Op. 57', 'Pyotr Tchaikovsky. Nocturne and Humoresque, Op. 10', 'Sergei Rachmaninov. Étude-tableau in C major, Op. 33,2', 'Franz Liszt. Feux follets from Transcendental Études, S. 139,5', 'Frédéric Chopin. Étude in B minor, op. 25,10', ","'Modest Mussorgsky. Pictures at an Exhibition', 'Stage 1', 'Alexander Scriabin. Three Pieces for piano, Op. 45', 'Sergei Prokofev. Sonata 7 in B-flat major, Op. 83', 'Stage 2', 'Wolfgang A. Mozart. Piano Concerto 9 in E-flat major, K. 271', ","'Sergei Rachmaninov. Piano Concerto 3 in D minor, Op. 30', 'Pyotr Tchaikovsky. Piano Concerto 1 in B-flat minor, Op. 23']","['Round I', 'Johann S. Bach. Prélude and Fugue in G major, Well-Tempered Clavier, Book 1,BWV 860', 'Ludwig van Beethoven. Sonata 23 in F minor (Appassionata), Op. 57', 'Pyotr Tchaikovsky. Nocturne and Humoresque, Op. 10', 'Sergei Rachmaninov. Étude-tableau in C major, Op. 33,2', 'Franz Liszt. Feux follets from Transcendental Études, S. 139,5', 'Frédéric Chopin. Étude in B minor, op. 25,10', 'Round II', 'Modest Mussorgsky. Pictures at an Exhibition', 'Stage 1', 'Alexander Scriabin. Three Pieces for piano, Op. 45', 'Sergei Prokofev. Sonata 7 in B-flat major, Op. 83', 'Stage 2', 'Wolfgang A. Mozart. Piano Concerto 9 in E-flat major, K. 271', 'Round III', 'Sergei Rachmaninov. Piano Concerto 3 in D minor, Op. 30', 'Pyotr Tchaikovsky. Piano Concerto 1 in B-flat minor, Op. 23']"
Lucas Debargue,France,"Johann S. Bach. Prélude and Fugue in E-flat major, Well-Tempered Clavier, Book1, BWV 852', 'Ludwig van Beethoven. Sonata 7 in D major, Op. 10,3', 'Pyotr Tchaikovsky. Valse sentimentale, Op. 51,6', 'Frédéric Chopin. Étude in G-sharp minor, op. 25,6', 'Franz Liszt. Étude in F minor from Transcendental Études, S. 139,10', 'Sergei Rachmaninov. Étude-tableau in E-flat minor, Op. 39,5', ","'Nikolai Medtner. Sonata in F minor, Op. 5', 'Stage 1', 'Maurice Ravel. Gaspard de la nuit', 'Stage 2', 'Wolfgang A. Mozart. Piano Concerto 24 in C minor, K. 491', ","'Pyotr Tchaikovsky. Piano Concerto 1 in B-flat minor, Op. 23', 'Franz Liszt. Piano Concerto 2 in A major, S. 125']","['Round I', 'Johann S. Bach. Prélude and Fugue in E-flat major, Well-Tempered Clavier, Book1, BWV 852', 'Ludwig van Beethoven. Sonata 7 in D major, Op. 10,3', 'Pyotr Tchaikovsky. Valse sentimentale, Op. 51,6', 'Frédéric Chopin. Étude in G-sharp minor, op. 25,6', 'Franz Liszt. Étude in F minor from Transcendental Études, S. 139,10', 'Sergei Rachmaninov. Étude-tableau in E-flat minor, Op. 39,5', 'Round II', 'Nikolai Medtner. Sonata in F minor, Op. 5', 'Stage 1', 'Maurice Ravel. Gaspard de la nuit', 'Stage 2', 'Wolfgang A. Mozart. Piano Concerto 24 in C minor, K. 491', 'Round III', 'Pyotr Tchaikovsky. Piano Concerto 1 in B-flat minor, Op. 23', 'Franz Liszt. Piano Concerto 2 in A major, S. 125']"
Georgy Voilochnikov,Russia,"Johann S. Bach. Prélude and Fugue in E major, Well-Tempered Clavier, Book 2,BWV 878,', 'Ludwig van Beethoven. Sonata 31 in A-flat major, Op. 110', 'Pyotr Tchaikovsky. May: White Nights and August: Harvest from The SeasonsOp.37,5 and 8', 'Franz Liszt. Concert Étude in D-flat major, S. 144,3', 'Frédéric Chopin. Étude in E minor, op. 25,5', 'Sergei Rachmaninov. Étude-tableau in E-flat minor, Op. 39,5', ","Robert Schumann. Humoreske in B-flat major, Op. 20', 'Stage 1', 'Frédéric Chopin. Barcarolle in F-sharp major, Op. 60', 'Alexander Scriabin. Sonata 3 in F-sharp minor, Op. 23', 'Stage 2', 'Wolfgang A. Mozart. Piano Concerto 24 in C minor, K. 491', ","'Pyotr Tchaikovsky. Piano Concerto 1 in B-flat minor, Op. 23', 'Béla Bartók. Piano Concerto 3 in E major, BB 127 (Sz. 119)']","['Round I', 'Johann S. Bach. Prélude and Fugue in E major, Well-Tempered Clavier, Book 2,BWV 878,', 'Ludwig van Beethoven. Sonata 31 in A-flat major, Op. 110', 'Pyotr Tchaikovsky. May: White Nights and August: Harvest from The SeasonsOp.37,5 and 8', 'Franz Liszt. Concert Étude in D-flat major, S. 144,3', 'Frédéric Chopin. Étude in E minor, op. 25,5', 'Sergei Rachmaninov. Étude-tableau in E-flat minor, Op. 39,5', 'Round II', 'Robert Schumann. Humoreske in B-flat major, Op. 20', 'Stage 1', 'Frédéric Chopin. Barcarolle in F-sharp major, Op. 60', 'Alexander Scriabin. Sonata 3 in F-sharp minor, Op. 23', 'Stage 2', 'Wolfgang A. Mozart. Piano Concerto 24 in C minor, K. 491', 'Round III', 'Pyotr Tchaikovsky. Piano Concerto 1 in B-flat minor, Op. 23', 'Béla Bartók. Piano Concerto 3 in E major, BB 127 (Sz. 119)']"
Andrey Dubov,Russia,"Johann S. Bach. Prélude and Fugue in A minor, Well-Tempered Clavier, Book 2,BWV 889', 'Ludwig van Beethoven. Sonata 23 in F minor (Appassionata), Op. 57', 'Pyotr Tchaikovsky. Méditation, Op. 72,5', 'Sergei Rachmaninov. Étude-tableau in F-sharp minor, Op. 39,3', 'Frédéric Chopin. Étude in B minor, op. 25,10', 'Franz Liszt. Étude in F minor from Transcendental Études, S. 139,10', ","Johann S. Bach – Ferruccio Busoni. Chaconne from the Partita No.2 for violin inD minor, BWV 1004', 'Stage 1', 'Modest Mussorgsky. Pictures at an Exhibition', 'Igor Stravinsky. Three Movements from Petrushka: Dance Russe, Chez Petrushka,La Semaine grasse', 'Stage 2', 'Wolfgang A. Mozart. Piano Concerto 24 in C minor, K. 491', ","'Pyotr Tchaikovsky. Piano Concerto 1 in B-flat minor, Op. 23', 'Sergei Rachmaninov. Piano Concerto 2 in C minor, Op. 18']","['Round I', 'Johann S. Bach. Prélude and Fugue in A minor, Well-Tempered Clavier, Book 2,BWV 889', 'Ludwig van Beethoven. Sonata 23 in F minor (Appassionata), Op. 57', 'Pyotr Tchaikovsky. Méditation, Op. 72,5', 'Sergei Rachmaninov. Étude-tableau in F-sharp minor, Op. 39,3', 'Frédéric Chopin. Étude in B minor, op. 25,10', 'Franz Liszt. Étude in F minor from Transcendental Études, S. 139,10', 'Round II', 'Johann S. Bach – Ferruccio Busoni. Chaconne from the Partita No.2 for violin inD minor, BWV 1004', 'Stage 1', 'Modest Mussorgsky. Pictures at an Exhibition', 'Igor Stravinsky. Three Movements from Petrushka: Dance Russe, Chez Petrushka,La Semaine grasse', 'Stage 2', 'Wolfgang A. Mozart. Piano Concerto 24 in C minor, K. 491', 'Round III', 'Pyotr Tchaikovsky. Piano Concerto 1 in B-flat minor, Op. 23', 'Sergei Rachmaninov. Piano Concerto 2 in C minor, Op. 18']"
Daria Kameneva,Russia,"Johann S. Bach. Prélude and Fugue in C major, Well-Tempered Clavier, Book 1,BWV 846', 'Ludwig van Beethoven. Sonata 27 in E minor, Op. 90', 'Frédéric Chopin. Étude in F major, Op. 10,8', 'Franz Liszt. Waldesrauschen from Two Concert Études, S. 145', 'Pyotr Tchaikovsky. Dumka, Op. 59', 'Sergei Rachmaninov. Étude-tableau in C minor, Op. 39,1', ","Joseph Haydn. Sonata in C minor, Hob. XVI/20', 'Stage 1', 'Johannes Brahms. Sonata 2 in F-sharp minor, Op. 2', 'Sergei Rachmaninov. Prélude in G major, Op.32,5; Prélude in C minor, Op. 23,7', 'Stage 2', 'Wolfgang A. Mozart. Piano Concerto 20 in D minor, K. 466', ","'Edvard Grieg. Piano Concerto in A minor, Op. 16', 'Pyotr Tchaikovsky. Piano Concerto 1 in B-flat minor, Op. 23']","['Round I', 'Johann S. Bach. Prélude and Fugue in C major, Well-Tempered Clavier, Book 1,BWV 846', 'Ludwig van Beethoven. Sonata 27 in E minor, Op. 90', 'Frédéric Chopin. Étude in F major, Op. 10,8', 'Franz Liszt. Waldesrauschen from Two Concert Études, S. 145', 'Pyotr Tchaikovsky. Dumka, Op. 59', 'Sergei Rachmaninov. Étude-tableau in C minor, Op. 39,1', 'Round II', 'Joseph Haydn. Sonata in C minor, Hob. XVI/20', 'Stage 1', 'Johannes Brahms. Sonata 2 in F-sharp minor, Op. 2', 'Sergei Rachmaninov. Prélude in G major, Op.32,5; Prélude in C minor, Op. 23,7', 'Stage 2', 'Wolfgang A. Mozart. Piano Concerto 20 in D minor, K. 466', 'Round III', 'Edvard Grieg. Piano Concerto in A minor, Op. 16', 'Pyotr Tchaikovsky. Piano Concerto 1 in B-flat minor, Op. 23']"
