Participant Name,Participant Country,Round 1 Pieces,Round II Pieces,Pieces
Kantorow Alexandre,France,"~J. S. Bach. Prelude and Fugue in E-fl at major, WTC, BWV 852~F. Liszt. _Chasse-neige_ from the Transcendental Etudes for piano, S. 139, No. 12~F. Chopin. Etude in F major, op. 10, No. 8~P. Tchaikovsky. _Meditation_, op. 72, No. 5~S. Rachmaninoff. Etude-tableau in D major, op. 39, No. 9",,"['Round I~J. S. Bach. Prelude and Fugue in E-fl at major, WTC, BWV 852~F. Liszt. _Chasse-neige_ from the Transcendental Etudes for piano, S. 139, No. 12~F. Chopin. Etude in F major, op. 10, No. 8~P. Tchaikovsky. _Meditation_, op. 72, No. 5~S. Rachmaninoff. Etude-tableau in D major, op. 39, No. 9~Round II~J. Brahms. Rhapsodie in B minor, op. 79 No. 1~J. Brahms. Piano sonata No. 2 in F-sharp minor, op. 2~I. Stravinsky. Three movements from «The Firebird Suite» (arr. D. Agosti)~G. Faure. Nocturne No. 6 in D-fl at minor, op. 63~Round III~P. Tchaikovsky. Piano Concerto No. 2 in G major, op. 44~J. Brahms. Piano Concerto No. 2 in B-fl at major, op. 83']"
Shishkin Dmitry,Russia,"~J. S. Bach. Prelude and Fugue in G major, WTC, book I, BWV 860~L. van Beethoven. Sonata No. 21 in C major _Waldstein_, op. 53~P. Tchaikovsky. _Scherzo a la Russe_, op. 1 No. 1~F. Chopin. Etude in c-sharp minor,op. 10, No. 4~S. Rachmaninoff. Etude-tableau op. 39 No. 8 in d minor~F. Liszt. Etude «La campanella» in g-sharp minor from Grandes Etudes de Paganini, S. 141~No. 3",,"['Round I~J. S. Bach. Prelude and Fugue in G major, WTC, book I, BWV 860~L. van Beethoven. Sonata No. 21 in C major _Waldstein_, op. 53~P. Tchaikovsky. _Scherzo a la Russe_, op. 1 No. 1~F. Chopin. Etude in c-sharp minor,op. 10, No. 4~S. Rachmaninoff. Etude-tableau op. 39 No. 8 in d minor~F. Liszt. Etude «La campanella» in g-sharp minor from Grandes Etudes de Paganini, S. 141~No. 3~Round II~F. Chopin. 3 Mazurkas, op. 59, Scherzo No. 2 in B-fl at minor, op. 31~N. Medtner. _Canzona-Serenata_ from _Forgotten Melodies_, op. 38~S. Prokofi ev. 4 Etudes, op. 2~S. Rachmaninoff. Piano Sonata No. 2 in B-fl at minor, op. 36~Round III~P. Tchaikovsky. Piano concerto No. 1 in B-fl at minor, op. 23~S. Prokofi ev. Piano concerto No. 3 in C major, op. 26']"
Fujita Mao,Japan,"~J.S. Bach. Prelude and Fugue in A minor, Well-Tempered Clavier, Book 1, BWV 865~W. A. Mozart. Piano Sonata No. 10 in C major, K. 330~P. Tchaikovsky. _Dumka_, op. 59~F. Chopin. Etude in A minor, op. 25 No. 11~S. Rachmaninoff. Etude-tableau in E-fl at minor, op. 39, No. 5~F. Liszt. Etude No. 10 in F minor from Transcendental Etudes, S. 139",,"['Round I~J.S. Bach. Prelude and Fugue in A minor, Well-Tempered Clavier, Book 1, BWV 865~W. A. Mozart. Piano Sonata No. 10 in C major, K. 330~P. Tchaikovsky. _Dumka_, op. 59~F. Chopin. Etude in A minor, op. 25 No. 11~S. Rachmaninoff. Etude-tableau in E-fl at minor, op. 39, No. 5~F. Liszt. Etude No. 10 in F minor from Transcendental Etudes, S. 139~Round II~A. Scriabin. Piano Sonata-Fantasy No. 2 in G-sharp minor, op.19~F. Chopin. Piano Sonata No. 3 in B minor, op. 58~S. Prokofi ev. Piano Sonata No. 7 in B-fl at major, op. 83~Round III~P. Tchaikovsky. Piano Concerto No. 1 in B-fl at minor, op. 23~S. Rachmaninoff. Piano Concerto No. 3 in D minor, op. 30']"
Melnikov Alexey,Russia,"~J.S. Bach. Prelude and Fugue in B-flat minor, WTC, book I, BWV 867~L. van Beethoven. Piano sonata No. 23 in F minor (_Appassionata_), op. 57~P. Tchaikovsky. _The Seasons_: October _Autumn Song_~F. Chopin. Etude in C major, op. 10, No. 1~S. Rachmaninoff. Etude-tableau in C major, op. 33, No. 2~F. Liszt. Etude in F minor from Transcendental Etudes, S. 139 No. 10",,"['Round I~J.S. Bach. Prelude and Fugue in B-flat minor, WTC, book I, BWV 867~L. van Beethoven. Piano sonata No. 23 in F minor (_Appassionata_), op. 57~P. Tchaikovsky. _The Seasons_: October _Autumn Song_~F. Chopin. Etude in C major, op. 10, No. 1~S. Rachmaninoff. Etude-tableau in C major, op. 33, No. 2~F. Liszt. Etude in F minor from Transcendental Etudes, S. 139 No. 10~Round II~F. Liszt. Sonata in B minor, S.178~A. Scriabin. Prelude in C major, A minor, B minor, F-sharp minor, B major, G sharp minor, E~flat minor, op. 11~S. Rachmaninoff. Etude-tableau in C minor, op. 33, No. 3~S. Prokofiev. 4 Etudes, op. 2~Round III~P. Tchaikovsky. Piano concerto No. 1 in B-flat minor, op. 23~S. Rachmaninoff. Piano concerto No. 3 in D minor, op. 30']"
Broberg Kenneth,USA,"~J. S. Bach. Prelude and Fugue in A-fl at major, WTC Bk 1, BWV 862~L. van Beethoven. Piano Sonata No. 31 in A-fl at major, op 110~S. Rachmaninoff. Etude-tableau in D minor, op 39, No. 8~F. Chopin. Etude in E minor, op 25, No. 5~F. Liszt. Etude _Wild Jagd_ from Transcendental Etudes, S. 139, No. 8~P. Tchaikovsky. _Dumka_, op. 59",,"['Round I~J. S. Bach. Prelude and Fugue in A-fl at major, WTC Bk 1, BWV 862~L. van Beethoven. Piano Sonata No. 31 in A-fl at major, op 110~S. Rachmaninoff. Etude-tableau in D minor, op 39, No. 8~F. Chopin. Etude in E minor, op 25, No. 5~F. Liszt. Etude _Wild Jagd_ from Transcendental Etudes, S. 139, No. 8~P. Tchaikovsky. _Dumka_, op. 59~Round II~J. S. Bach. Toccata in C minor, BWV 911~S. Barber: Piano Sonata in E-fl at minor, op. 26~N. Medtner: Piano Sonata in E minor, op 25, No. 2~Round III~P. Tchaikovsky. Piano Concerto No. 1 in B-fl at minor, op. 23~S. Rachmaninoff. _Rhapsody on a Theme of Paganini_, A minor, op. 43']"
Yemelyanov Konstantin,Russia,"~J.S. Bach. Prelude and Fugue in C-sharp minor, Book II, BWV 873~J. Haydn. Piano Sonata in D major, Hob. XVI: 24~P. Tchaikovsky. Romance, op. 5~P. Tchaikovsky. «Characteristic Dance», op. 72~P. Tchaikovsky. Nocturne, op. 19 No. 4~F. Chopin. Etude in A Minor, op. 10, No. 2~S. Rachmaninoff. Etude-tableau in A minor, op. 39 No. 6~F. Liszt. Etude «La Campanella» in G-sharp minor from _Grandes Etudes de Paganini_, S. 140",,"['Round I~J.S. Bach. Prelude and Fugue in C-sharp minor, Book II, BWV 873~J. Haydn. Piano Sonata in D major, Hob. XVI: 24~P. Tchaikovsky. Romance, op. 5~P. Tchaikovsky. «Characteristic Dance», op. 72~P. Tchaikovsky. Nocturne, op. 19 No. 4~F. Chopin. Etude in A Minor, op. 10, No. 2~S. Rachmaninoff. Etude-tableau in A minor, op. 39 No. 6~F. Liszt. Etude «La Campanella» in G-sharp minor from _Grandes Etudes de Paganini_, S. 140~Round II~P. Tchaikovsky. Elegiac song, op. 72~P. Tchaikovsky & S. Feinberg. Scherzo «Allegro molto vivace» from Symphony No. 6~S. Barber. Sonata for Piano in E-fl at minor, op. 26~S. Rachmaninoff. Variations on a Theme of Corelli, op. 42~Round III~P. Tchaikovsky. Piano Concerto No. 1 in B-fl at minor, op. 23~S. Prokofi ev. Piano Concerto No. 3 in C major, op. 26']"
An Tianxu,China,"~J. S. Bach. Prelude and Fugue in C major, Well-Tempered Clavier, Book 2, BWV 870~F. Chopin. Etude in С major, op. 10, No. 10~F. Liszt. _Wilde Jagd_ from Transcendental Etudes, S. 139 No. 8~S. Rachmaninoff. Etudes-tableau in A Minor, op. 39, No. 6~P. Tchaikovsky. Scherzo Fantasy, op. 72 No. 10~L. van Beethoven. Sonata No. 23 F minor (_Appassionata_), op.57",,"['Round I~J. S. Bach. Prelude and Fugue in C major, Well-Tempered Clavier, Book 2, BWV 870~F. Chopin. Etude in С major, op. 10, No. 10~F. Liszt. _Wilde Jagd_ from Transcendental Etudes, S. 139 No. 8~S. Rachmaninoff. Etudes-tableau in A Minor, op. 39, No. 6~P. Tchaikovsky. Scherzo Fantasy, op. 72 No. 10~L. van Beethoven. Sonata No. 23 F minor (_Appassionata_), op.57~Round II~S. Prokofi ev. Four Pieces for Piano, op. 2~J. Brahms. Paganini Variations, op. 35, Book 1~S. Rachmaninoff. Chopin Variation, op. 22~Round III~S. Rachmaninoff. _Rhapsody on a Theme of Paganini_, A minor, op. 43~P. I. Tchaikovsky. Piano Concerto No.1 in B-fl at minor, op. 23']"
Beisembayev Alim,Kazakhstan,"~J. S. Bach - Prelude and Fugue in E-fl at minor, Book 1, BWV 853~L. van Beethoven. Sonata № 7 in D major, op. 10 No. 3~P. Tchaikovsky. Nocturne F major op. 10, No. 1~F. Liszt. _Chasse-neige_ from the Transcendental Etudes for piano, S. 139, No. 12~F. Chopin. Etude in C major, op. 10 No. 7~S. Rachmaninoff. Etude-tableau in D major, op. 39 No. 9",,"['Round I~J. S. Bach - Prelude and Fugue in E-fl at minor, Book 1, BWV 853~L. van Beethoven. Sonata № 7 in D major, op. 10 No. 3~P. Tchaikovsky. Nocturne F major op. 10, No. 1~F. Liszt. _Chasse-neige_ from the Transcendental Etudes for piano, S. 139, No. 12~F. Chopin. Etude in C major, op. 10 No. 7~S. Rachmaninoff. Etude-tableau in D major, op. 39 No. 9~Round II~D. Scarlatti. Sonata in Gmajor K 13; Sonata in Bminor K 87~R. Schumann. Etudes symphoniques, op. 13~S. Prokofi ev. Visions Fugitives, op. 22 Nos. 1-8, 11, 14, 16, 19, 20~I. Stravinsky. Movements from _The Firebird Suite_ (arr. D. Agosti)~Round III~P. Tchaikovsky. Piano Concerto No. 1 in B-fl at minor, op. 23~L. van Beethoven. Piano Concerto No. 4, G major, op. 58']"
Gadjiev Alexander,Italy,"~J. S. Bach. Prelude and Fugue in E major, WTC, Book 2, BWV 878~L. van Beethoven. Sonata No. 21 in C major (_Waldstein_), op. 53~P. Tchaikovsky. Variations in F major, op. 19, No. 6~F. Chopin. Etude in E minor, op. 25, No. 5~S. Rachmaninoff. Etude-tableau in e-fl at minor, op. 39, No. 5~F. Liszt. _Mazeppa_ from Transcendental Etudes, S. 139, No. 4",,"['Round I~J. S. Bach. Prelude and Fugue in E major, WTC, Book 2, BWV 878~L. van Beethoven. Sonata No. 21 in C major (_Waldstein_), op. 53~P. Tchaikovsky. Variations in F major, op. 19, No. 6~F. Chopin. Etude in E minor, op. 25, No. 5~S. Rachmaninoff. Etude-tableau in e-fl at minor, op. 39, No. 5~F. Liszt. _Mazeppa_ from Transcendental Etudes, S. 139, No. 4~Round II~F. Liszt. Fantasia-Sonata for piano «Apres una lecture du Dante»~A. Scriabin. _Feuillet d|album_ op.45 No.1; Etude No. 8 A-fl at major, op. 8;~Preludes Nos. 2 (G-sharp minor), 3 (G-fl at major), 4 (E-fl at minor), op.16;~Poeme F-sharp major, op. 32, No. 1; Etude C-sharp minor, op. 42, No. 5~S. Prokofi ev. Sonata No. 6 in A major, op. 82~Round III~P. Tchaikovsky. Piano Concerto No. 1 in B-fl at minor, op. 23~S. Prokofi ev. Piano Concerto No. 3 in C major, op. 26']"
Geniushene Anna,Russia,"~J.S. Bach. Prelude and Fugue in F major, WTC 2, BWV 880~M. Clementi. Sonata in f sharp minor, op. 25 No. 5~F. Chopin. Etudein A flat major, op. 10 No. 10~S. Rachmaninoff. Etude-tableau in E-flat minor, op. 33 No. 5~F. Liszt. Etude in F minor from Transcendental Etudes, S. 139, No. 10~P. Tchaikovsky. Romance, in F major, op. 51 No. 5~P. Tchaikovsky. «Scherzo a la Ruse», op. 1",,"['Round I~J.S. Bach. Prelude and Fugue in F major, WTC 2, BWV 880~M. Clementi. Sonata in f sharp minor, op. 25 No. 5~F. Chopin. Etudein A flat major, op. 10 No. 10~S. Rachmaninoff. Etude-tableau in E-flat minor, op. 33 No. 5~F. Liszt. Etude in F minor from Transcendental Etudes, S. 139, No. 10~P. Tchaikovsky. Romance, in F major, op. 51 No. 5~P. Tchaikovsky. «Scherzo a la Ruse», op. 1~Round II~R. Schumann. Humoresque, op. 20~C. Debussy. «Berceuse heroique»~S. Prokofiev. Sonata No. 8 in B-flat major, op. 84~Round III~P. Tchaikovsky. Piano concerto No. 1 in B-flat minor, op. 23~S. Prokofiev. Piano concerto No. 3 in C major, op. 26']"
